OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
  1   0    -6.78872E-04      0.00000E+00      4.44251E-14      0.00000E+00
  1   1     9.27249E-04     -2.50744E-05      3.44017E-05      1.27217E-03
  2   0    -7.56912E-04      0.00000E+00      1.79890E-14      0.00000E+00
  2   1     9.60560E-04     -2.59752E-05      8.04262E-06      2.97415E-04
  2   2     5.75867E-04     -3.11677E-05      2.60218E-05      4.80790E-04
  3   0    -9.55554E-04      0.00000E+00      2.99115E-15      0.00000E+00
  3   1     4.41494E-04     -1.19388E-05      9.45614E-07      3.49687E-05
  3   2     7.91406E-04     -4.28333E-05      1.21963E-05      2.25344E-04
  3   3     2.66994E-04     -2.17023E-05      1.31567E-05      1.61861E-04
  4   0    -7.79753E-04      0.00000E+00     -2.37604E-15      0.00000E+00
  4   1    -1.66337E-04      4.49805E-06     -5.81842E-07     -2.15164E-05
  4   2     5.94227E-04     -3.21614E-05      4.06519E-06      7.51101E-05
  4   3     4.15393E-04     -3.37647E-05      8.85892E-06      1.08988E-04
  4   4     1.10370E-04     -1.19822E-05      5.71563E-06      5.26475E-05
  5   0    -4.25758E-04      0.00000E+00     -2.87202E-15      0.00000E+00
  5   1    -4.41898E-04      1.19497E-05     -5.74239E-07     -2.12353E-05
  5   2     2.41285E-04     -1.30591E-05      6.66935E-07      1.23226E-05
  5   3     3.82079E-04     -3.10568E-05      4.31898E-06      5.31346E-05
  5   4     1.87125E-04     -2.03151E-05      4.88163E-06      4.49654E-05
  5   5     4.29238E-05     -5.83786E-06      2.29732E-06      1.68914E-05
  6   0    -1.24458E-04      0.00000E+00     -1.82643E-15      0.00000E+00
  6   1    -4.11383E-04      1.11245E-05     -3.08635E-07     -1.14133E-05
  6   2    -2.66764E-05      1.44381E-06     -3.28306E-07     -6.06592E-06
  6   3     2.38951E-04     -1.94228E-05      1.54061E-06      1.89535E-05
  6   4     1.96542E-04     -2.13374E-05      3.01231E-06      2.77468E-05
  6   5     7.79604E-05     -1.06030E-05      2.33494E-06      1.71680E-05
  6   6     1.60737E-05     -2.63044E-06      8.81262E-07      5.38508E-06
  7   0     3.74491E-05      0.00000E+00     -7.86763E-16      0.00000E+00
  7   1    -2.50829E-04      6.78285E-06     -1.15137E-07     -4.25776E-06
  7   2    -1.39476E-04      7.54885E-06     -4.00468E-07     -7.39921E-06
  7   3     9.01362E-05     -7.32661E-06      2.69176E-07      3.31156E-06
  7   4     1.50101E-04     -1.62956E-05      1.45789E-06      1.34288E-05
  7   5     9.04283E-05     -1.22987E-05      1.70787E-06      1.25574E-05
  7   6     3.09567E-05     -5.06603E-06      1.02593E-06      6.26911E-06
  7   7     5.86577E-06     -1.12352E-06      3.27756E-07      1.71118E-06
  8   0     8.19856E-05      0.00000E+00     -1.76491E-16      0.00000E+00
  8   1    -9.75636E-05      2.63829E-06     -2.27784E-08     -8.42343E-07
  8   2    -1.37771E-04      7.45659E-06     -2.43825E-07     -4.50500E-06
  8   3    -6.66903E-06      5.42084E-07     -1.41575E-07     -1.74174E-06
  8   4     8.44806E-05     -9.17157E-06      5.22939E-07      4.81687E-06
  8   5     7.87330E-05     -1.07081E-05      1.00206E-06      7.36781E-06
  8   6     3.88823E-05     -6.36305E-06      8.56606E-07      5.23442E-06
  8   7     1.18952E-05     -2.27838E-06      4.26183E-07      2.22506E-06
  8   8     2.10077E-06     -4.61576E-07      1.19253E-07      5.42754E-07
  9   0     6.57007E-05      0.00000E+00      6.38608E-17      0.00000E+00
  9   1    -5.58284E-06      1.50970E-07      7.37190E-09      2.72612E-07
  9   2    -8.83496E-05      4.78175E-06     -1.03498E-07     -1.91227E-06
  9   3    -4.50700E-05      3.66346E-06     -1.82434E-07     -2.24441E-06
  9   4     2.95343E-05     -3.20636E-06      8.69865E-08      8.01246E-07
  9   5     5.37450E-05     -7.30959E-06      4.74776E-07      3.49087E-06
  9   6     3.73505E-05     -6.11236E-06      5.79059E-07      3.53843E-06
  9   7     1.59703E-05     -3.05892E-06      3.96400E-07      2.06956E-06
  9   8     4.46201E-06     -9.80384E-07      1.70162E-07      7.74457E-07
  9   9     7.41658E-07     -1.84105E-07      4.26864E-08      1.71960E-07
 10   0     3.41924E-05      0.00000E+00      1.02909E-16      0.00000E+00
 10   1     2.85644E-05     -7.72431E-07      1.07454E-08      3.97364E-07
 10   2    -3.82776E-05      2.07170E-06     -2.67243E-08     -4.93770E-07
 10   3    -4.49713E-05      3.65543E-06     -1.17671E-07     -1.44766E-06
 10   4    -2.84892E-06      3.09291E-07     -5.76951E-08     -5.31438E-07
 10   5     2.79479E-05     -3.80106E-06      1.66684E-07      1.22557E-06
 10   6     2.89528E-05     -4.73810E-06      3.26304E-07      1.99393E-06
 10   7     1.66029E-05     -3.18009E-06      2.99801E-07      1.56523E-06
 10   8     6.34506E-06     -1.39412E-06      1.73322E-07      7.88841E-07
 10   9     1.64302E-06     -4.07854E-07      6.59729E-08      2.65768E-07
 10  10     2.58879E-07     -7.17448E-08      1.50878E-08      5.44416E-08
 11   0     9.93951E-06      0.00000E+00      7.03232E-17      0.00000E+00
 11   1     2.90179E-05     -7.84694E-07      6.70313E-09      2.47881E-07
 11   2    -6.50172E-06      3.51893E-07      2.65379E-09      4.90326E-08
 11   3    -2.93864E-05      2.38864E-06     -5.35338E-08     -6.58603E-07
 11   4    -1.48725E-05      1.61462E-06     -7.22618E-08     -6.65614E-07
 11   5     8.95556E-06     -1.21800E-06      2.40701E-08      1.76979E-07
 11   6     1.82228E-05     -2.98213E-06      1.50369E-07      9.18850E-07
 11   7     1.41591E-05     -2.71201E-06      1.91852E-07      1.00164E-06
 11   8     7.04868E-06     -1.54872E-06      1.43868E-07      6.54784E-07
 11   9     2.45777E-06     -6.10103E-07      7.26683E-08      2.92740E-07
 11  10     5.96117E-07     -1.65206E-07      2.50061E-08      9.02303E-08
 11  11     8.95296E-08     -2.74386E-08      5.27946E-09      1.72264E-08
 12   0    -2.13858E-06      0.00000E+00      3.16269E-17      0.00000E+00
 12   1     1.77109E-05     -4.78933E-07      2.77307E-09      1.02548E-07
 12   2     6.80101E-06     -3.68091E-07      8.41064E-09      1.55398E-07
 12   3    -1.33925E-05      1.08859E-06     -1.57344E-08     -1.93573E-07
 12   4    -1.45541E-05      1.58006E-06     -4.76363E-08     -4.38785E-07
 12   5    -1.40441E-06      1.91007E-07     -2.28759E-08     -1.68199E-07
 12   6     8.84839E-06     -1.44803E-06      5.07774E-08      3.10283E-07
 12   7     1.00970E-05     -1.93396E-06      1.04272E-07      5.44392E-07
 12   8     6.49145E-06     -1.42629E-06      1.01856E-07      4.63577E-07
 12   9     2.89122E-06     -7.17700E-07      6.53056E-08      2.63080E-07
 12  10     9.33082E-07     -2.58591E-07      2.95003E-08      1.06447E-07
 12  11     2.13671E-07     -6.54850E-08      9.30988E-09      3.03773E-08
 12  12     3.07238E-08     -1.03325E-08      1.83227E-09      5.44827E-09
 13   0    -5.27668E-06      0.00000E+00      7.49332E-18      0.00000E+00
 13   1     6.92044E-06     -1.87141E-07      6.08282E-10      2.24942E-08
 13   2     8.63119E-06     -4.67146E-07      6.12343E-09      1.13139E-07
 13   3    -2.99497E-06      2.43443E-07      7.09736E-11      8.73159E-10
 13   4    -9.51582E-06      1.03308E-06     -2.24877E-08     -2.07137E-07
 13   5    -4.96634E-06      6.75447E-07     -2.68210E-08     -1.97205E-07
 13   6     2.55114E-06     -4.17491E-07      5.57983E-09      3.40964E-08
 13   7     5.95129E-06     -1.13990E-06      4.65308E-08      2.42932E-07
 13   8     5.08194E-06     -1.11659E-06      6.23866E-08      2.83940E-07
 13   9     2.84033E-06     -7.05067E-07      5.02938E-08      2.02606E-07
 13  10     1.15446E-06     -3.19943E-07      2.84127E-08      1.02522E-07
 13  11     3.48484E-07     -1.06802E-07      1.16741E-08      3.80915E-08
 13  12     7.58109E-08     -2.54955E-08      3.41606E-09      1.01577E-08
 13  13     1.04741E-08     -3.84066E-09      6.31576E-10      1.72242E-09
 14   0    -4.18250E-06      0.00000E+00     -2.42945E-18      0.00000E+00
 14   1     6.10308E-07     -1.65038E-08     -1.83596E-10     -6.78937E-09
 14   2     5.86752E-06     -3.17568E-07      2.90216E-09      5.36216E-08
 14   3     1.62397E-06     -1.32002E-07      3.92150E-09      4.82445E-08
 14   4    -4.43618E-06      4.81610E-07     -7.09318E-09     -6.53363E-08
 14   5    -4.68869E-06      6.37686E-07     -1.77026E-08     -1.30161E-07
 14   6    -6.58766E-07      1.07806E-07     -8.84528E-09     -5.40504E-08
 14   7     2.70781E-06     -5.18648E-07      1.48825E-08      7.77002E-08
 14   8     3.39315E-06     -7.45537E-07      3.27681E-08      1.49137E-07
 14   9     2.39671E-06     -5.94946E-07      3.38562E-08      1.36388E-07
 14  10     1.19930E-06     -3.32370E-07      2.35199E-08      8.48676E-08
 14  11     4.51092E-07     -1.38249E-07      1.19553E-08      3.90090E-08
 14  12     1.28384E-07     -4.31759E-08      4.52520E-09      1.34557E-08
 14  13     2.66641E-08     -9.77719E-09      1.23846E-09      3.37749E-09
 14  14     3.55037E-09     -1.41186E-09      2.16448E-10      5.44296E-10
 15   0    -2.13872E-06      0.00000E+00     -4.19635E-18      0.00000E+00
 15   1    -1.69153E-06      4.57418E-08     -2.96642E-10     -1.09698E-08
 15   2     2.65264E-06     -1.43569E-07      8.47525E-10      1.56592E-08
 15   3     2.53943E-06     -2.06415E-07      3.21279E-09      3.95256E-08
 15   4    -1.11809E-06      1.21385E-07     -3.18284E-10     -2.93176E-09
 15   5    -3.03361E-06      4.12586E-07     -8.50376E-09     -6.25253E-08
 15   6    -1.66522E-06      2.72511E-07     -9.58882E-09     -5.85939E-08
 15   7     6.81781E-07     -1.30587E-07      9.06747E-10      4.73403E-09
 15   8     1.88865E-06     -4.14969E-07      1.41040E-08      6.41912E-08
 15   9     1.75500E-06     -4.35651E-07      1.99667E-08      8.04350E-08
 15  10     1.07774E-06     -2.98682E-07      1.71260E-08      6.17964E-08
 15  11     4.92304E-07     -1.50879E-07      1.05433E-08      3.44019E-08
 15  12     1.73131E-07     -5.82245E-08      4.89653E-09      1.45598E-08
 15  13     4.67504E-08     -1.71425E-08      1.72437E-09      4.70265E-09
 15  14     9.30732E-09     -3.70120E-09      4.44470E-10      1.11770E-09
 15  15     1.19740E-09     -5.14074E-10      7.38121E-11      1.71926E-10
 16   0    -6.12765E-07      0.00000E+00     -2.92590E-18      0.00000E+00
 16   1    -1.75617E-06      4.74898E-08     -1.94286E-10     -7.18465E-09
 16   2     5.56506E-07     -3.01198E-08     -3.20441E-11     -5.92061E-10
 16   3     1.86367E-06     -1.51486E-07      1.66902E-09      2.05333E-08
 16   4     3.99284E-07     -4.33479E-08      1.52959E-09      1.40893E-08
 16   5    -1.42331E-06      1.93577E-07     -2.78650E-09     -2.04882E-08
 16   6    -1.50445E-06      2.46201E-07     -6.26039E-09     -3.82550E-08
