OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  10 LMAX_B  4
  1   0     2.00761E-04      0.00000E+00      1.37856E-04      0.00000E+00
  1   1    -9.38064E-04     -1.98807E-04      2.89165E-04     -9.81091E-04
  2   0     4.34406E-04      0.00000E+00     -1.45634E-04      0.00000E+00
  2   1    -7.91536E-04     -6.56879E-04      4.74459E-04     -5.07712E-04
  2   2    -3.67556E-04     -1.04296E-04     -8.63081E-05     -3.38556E-04
  3   0     6.00799E-04      0.00000E+00     -3.11348E-04      0.00000E+00
  3   1    -2.15606E-04     -5.33968E-04      4.24610E-04     -3.82863E-04
  3   2    -5.20594E-04     -3.85458E-04      1.43807E-04     -3.40122E-04
  3   3    -3.98957E-06     -2.28039E-05     -1.07406E-04     -1.09682E-04
  4   0     2.99692E-04      0.00000E+00     -3.73192E-04      0.00000E+00
  4   1     6.22908E-05     -3.48674E-04      1.64807E-04     -1.98678E-04
  4   2    -3.14768E-04     -3.25347E-04      2.89328E-04     -3.48489E-04
  4   3    -9.48554E-05     -6.67188E-05      3.66442E-05     -2.22357E-04
  4   4     8.63117E-05      2.07797E-06     -1.05448E-04     -6.27575E-05
  5   0     2.13588E-04      0.00000E+00     -1.83819E-04      0.00000E+00
  5   1    -5.05558E-05     -2.75802E-04     -6.92302E-05     -4.83042E-05
  5   2    -3.41994E-04     -2.76773E-04      1.72783E-04     -1.71110E-04
  5   3    -1.01361E-04      8.55768E-06      1.54748E-04     -2.35791E-04
  5   4     1.07249E-04      5.01413E-05     -2.94913E-06     -1.37616E-04
  5   5     7.63038E-05     -3.29770E-05     -8.84387E-05     -2.92928E-05
  6   0     2.30214E-04      0.00000E+00     -5.00135E-05      0.00000E+00
  6   1     4.45564E-05     -1.76265E-04     -9.45109E-05     -4.34380E-07
  6   2    -3.48818E-04     -2.75306E-04      3.98663E-05     -5.03493E-05
  6   3    -2.15408E-04     -2.30682E-05      1.22449E-04     -1.39655E-04
  6   4     5.87421E-05      1.02439E-04      6.33266E-05     -1.38861E-04
  6   5     1.10093E-04      2.13737E-05     -3.04427E-05     -6.40310E-05
  6   6     4.32937E-05     -2.80245E-05     -4.25784E-05     -1.11898E-05
  7   0     1.61433E-04      0.00000E+00      4.47095E-06      0.00000E+00
  7   1     1.72208E-04     -7.19684E-05     -5.22716E-05      5.04420E-06
  7   2    -2.10922E-04     -2.20644E-04     -1.74503E-05     -1.84498E-06
  7   3    -2.66279E-04     -8.88387E-05      5.74355E-05     -5.74379E-05
  7   4    -4.57610E-05      7.59652E-05      6.52141E-05     -9.38102E-05
  7   5     8.45604E-05      6.53359E-05      1.15055E-05     -6.87092E-05
  7   6     6.64148E-05      1.11658E-07     -2.32082E-05     -2.57286E-05
  7   7     2.00387E-05     -1.48051E-05     -1.70421E-05     -3.84145E-06
  8   0     5.48227E-05      0.00000E+00      1.44006E-05      0.00000E+00
  8   1     1.97504E-04     -6.83995E-06     -1.51501E-05      1.41556E-06
  8   2    -4.82636E-05     -1.35198E-04     -2.42547E-05      8.31756E-06
  8   3    -2.13744E-04     -1.13576E-04      1.40681E-05     -1.39954E-05
  8   4    -1.16401E-04      1.86989E-05      4.14027E-05     -4.81636E-05
  8   5     2.40594E-05      6.52224E-05      2.45137E-05     -5.23150E-05
  8   6     6.00167E-05      2.71565E-05     -3.73592E-06     -3.01265E-05
  8   7     3.28572E-05     -4.46329E-06     -1.22384E-05     -9.50363E-06
  8   8     8.35113E-06     -6.59953E-06     -6.27117E-06     -1.23530E-06
  9   0    -2.14133E-05      0.00000E+00      9.23987E-06      0.00000E+00
  9   1     1.39275E-04      1.81791E-05      2.06929E-06     -1.09027E-06
  9   2     5.05619E-05     -6.07525E-05     -1.43304E-05      5.78351E-06
  9   3    -1.16626E-04     -9.58789E-05     -3.56775E-06      1.75737E-06
  9   4    -1.24648E-04     -2.37831E-05      1.86051E-05     -1.85277E-05
  9   5    -2.83670E-05      3.92255E-05      2.08398E-05     -3.15035E-05
  9   6     3.30981E-05      3.54262E-05      6.10729E-06     -2.55621E-05
  9   7     3.34449E-05      8.56537E-06     -4.85569E-06     -1.21748E-05
  9   8     1.46212E-05     -3.51778E-06     -5.49246E-06     -3.32443E-06
  9   9     3.26993E-06     -2.70724E-06     -2.20603E-06     -3.78958E-07
 10   0    -4.82909E-05      0.00000E+00      3.09909E-06      0.00000E+00
 10   1     6.17791E-05      1.96238E-05      5.68752E-06     -1.52786E-06
 10   2     7.57173E-05     -1.49555E-05     -4.78984E-06      1.97613E-06
 10   3    -3.35405E-05     -6.10472E-05     -6.44398E-06      4.34534E-06
 10   4    -9.14103E-05     -3.90596E-05      5.06353E-06     -4.11123E-06
 10   5    -5.20238E-05      1.12744E-05      1.25160E-05     -1.53180E-05
 10   6     4.08832E-06      2.83303E-05      8.05859E-06     -1.74643E-05
 10   7     2.35851E-05      1.54320E-05      2.24822E-07     -1.13879E-05
 10   8     1.63833E-05      1.86168E-06     -3.06095E-06     -4.64538E-06
 10   9     6.08942E-06     -1.98217E-06     -2.25503E-06     -1.11845E-06
 10  10     1.22904E-06     -1.05859E-06     -7.55530E-07     -1.11692E-07
