OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
  1   0     1.39215E-04      0.00000E+00      5.48913E-04      0.00000E+00
  1   1    -1.00271E-03      4.93892E-04     -2.68822E-04     -9.87087E-04
  2   0     4.49518E-04      0.00000E+00      4.37840E-05      0.00000E+00
  2   1    -1.06771E-03     -1.65085E-04      3.26294E-04     -2.63910E-04
  2   2    -3.95974E-04      2.01873E-04     -4.20717E-04     -1.44302E-04
  3   0     8.63885E-04      0.00000E+00     -2.96150E-04      0.00000E+00
  3   1    -1.61611E-04     -1.10115E-04      2.16490E-04     -3.54351E-04
  3   2    -6.12974E-04     -1.28007E-04      2.15198E-05     -5.93321E-05
  3   3     7.89580E-05      4.15850E-06     -3.80363E-04      6.55707E-05
  4   0     3.36858E-04      0.00000E+00     -3.20053E-04      0.00000E+00
  4   1     2.64102E-04     -1.72935E-05     -1.41533E-04     -2.15006E-04
  4   2    -1.65220E-04      9.46162E-06      2.01149E-04     -2.74019E-04
  4   3    -3.52915E-06     -8.06726E-05     -8.09810E-05     -6.14935E-05
  4   4     1.95676E-04     -8.30472E-05     -2.79148E-04      4.36155E-05
  5   0     2.72734E-04      0.00000E+00     -5.11459E-05      0.00000E+00
  5   1    -1.18993E-05     -7.64188E-05     -2.83823E-04     -1.16660E-05
  5   2    -2.34355E-04      5.32895E-05      7.22279E-05     -1.37670E-04
  5   3     5.32642E-05      1.05600E-04      1.42633E-04     -1.84231E-04
  5   4     2.47611E-04     -1.57216E-05     -9.17058E-05     -7.68840E-05
  5   5     1.51695E-04     -9.14267E-05     -1.85415E-04      1.63227E-05
  6   0     3.24233E-04      0.00000E+00      8.36369E-05      0.00000E+00
  6   1     1.78259E-04     -6.34586E-05     -1.55303E-04      3.09865E-05
  6   2    -3.09289E-04     -7.11140E-05     -8.13672E-05     -1.56083E-05
  6   3    -1.71038E-04      7.17046E-05      1.08490E-04     -1.00190E-04
  6   4     1.62552E-04      1.22659E-04      7.07031E-05     -1.08659E-04
  6   5     2.16120E-04      1.84056E-05     -7.16990E-05     -4.70078E-05
  6   6     1.02016E-04     -5.16209E-05     -9.80040E-05     -9.08895E-06
  7   0     1.47997E-04      0.00000E+00      8.30521E-05      0.00000E+00
  7   1     3.57322E-04      4.08642E-06     -1.79045E-05      1.89249E-05
  7   2    -9.38686E-05     -8.06416E-05     -9.46224E-05      2.10693E-05
  7   3    -2.66855E-04     -5.48530E-05      8.67868E-06     -2.45710E-05
  7   4    -3.84436E-05      7.60804E-05      8.09650E-05     -6.23330E-05
  7   5     1.44538E-04      1.06406E-04      2.67816E-05     -5.44235E-05
  7   6     1.35972E-04      2.81321E-05     -4.45828E-05     -2.97356E-05
  7   7     6.12191E-05     -1.85250E-05     -4.44503E-05     -1.41453E-05
  8   0    -5.25333E-05      0.00000E+00      3.78912E-05      0.00000E+00
  8   1     2.80558E-04      3.28106E-05      3.75395E-05      5.13368E-06
  8   2     1.22401E-04     -1.12329E-05     -4.39336E-05      1.78585E-05
  8   3    -1.58715E-04     -8.33322E-05     -3.59766E-05      4.94644E-06
  8   4    -1.41866E-04     -2.84696E-05      3.11435E-05     -2.11259E-05
  8   5     1.87448E-05      7.18436E-05      4.73639E-05     -3.17378E-05
  8   6     9.32626E-05      7.92604E-05      7.11199E-06     -2.67910E-05
  8   7     7.44725E-05      2.62726E-05     -2.32248E-05     -1.92108E-05
  8   8     3.28022E-05     -2.64414E-06     -1.79307E-05     -1.06838E-05
  9   0    -1.25063E-04      0.00000E+00      3.81461E-06      0.00000E+00
  9   1     9.07131E-05      2.00794E-05      3.43039E-05     -7.02500E-07
  9   2     1.73496E-04      3.50928E-05     -2.27230E-06      8.08659E-06
  9   3    -8.76966E-06     -3.30445E-05     -3.07854E-05      8.88087E-06
  9   4    -1.16048E-04     -6.74009E-05     -5.26576E-06     -2.52935E-06
  9   5    -5.63159E-05     -3.56893E-06      2.73478E-05     -1.21529E-05
  9   6     2.61104E-05      5.88253E-05      2.38442E-05     -1.44143E-05
  9   7     5.08209E-05      5.33648E-05      7.55544E-07     -1.39944E-05
  9   8     3.70669E-05      2.00021E-05     -1.03927E-05     -1.17466E-05
  9   9     1.58988E-05      2.39503E-06     -6.46938E-06     -6.30828E-06
 10   0    -8.90479E-05      0.00000E+00     -8.21004E-06      0.00000E+00
 10   1    -4.16116E-05     -5.68143E-07      1.45820E-05     -1.65652E-06
 10   2     1.05475E-04      3.38910E-05      1.21658E-05      2.02055E-06
 10   3     6.74221E-05      1.60993E-05     -1.18303E-05      5.59989E-06
 10   4    -4.13916E-05     -4.18127E-05     -1.45524E-05      2.26147E-06
 10   5    -6.19121E-05     -4.24298E-05      5.54384E-06     -2.96664E-06
 10   6    -1.72501E-05      1.04560E-05      1.77277E-05     -5.21259E-06
 10   7     1.75990E-05      4.25166E-05      1.08577E-05     -6.44099E-06
 10   8     2.44053E-05      3.33028E-05     -3.75537E-07     -7.68282E-06
 10   9     1.68985E-05      1.33410E-05     -3.97155E-06     -6.62902E-06
 10  10     7.02889E-06      2.86584E-06     -2.03416E-06     -3.24841E-06
 11   0    -2.61341E-05      0.00000E+00     -7.14444E-06      0.00000E+00
 11   1    -7.25410E-05     -9.63424E-06      7.90956E-07     -1.06951E-06
 11   2     2.18000E-05      1.19539E-05      9.88330E-06     -2.87386E-07
 11   3     6.50258E-05      2.96030E-05      6.35151E-07      2.43064E-06
 11   4     1.26909E-05     -3.10449E-06     -9.55809E-06      2.22873E-06
 11   5    -3.28369E-05     -3.60617E-05     -4.47419E-06     -1.98533E-07
 11   6    -2.71779E-05     -2.07868E-05      6.80553E-06     -1.32492E-06
 11   7    -4.12795E-06      1.42739E-05      9.79270E-06     -1.68859E-06
