OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
  1   0    -2.61215E-04      0.00000E+00     -1.44971E-17      0.00000E+00
  1   1     3.66344E-04     -3.37928E-04     -9.71023E-04      2.02469E-03
  2   0    -3.28177E-04      0.00000E+00      7.02948E-04      0.00000E+00
  2   1     1.40711E-03      4.99840E-04     -1.40441E-04     -2.40357E-04
  2   2     1.85267E-04     -3.44032E-05      1.47436E-05      2.78848E-04
  3   0    -3.18899E-04      0.00000E+00      2.64432E-04      0.00000E+00
  3   1     5.05722E-04      5.00515E-05     -1.98321E-04      1.60428E-04
  3   2     7.62524E-04     -2.16606E-04      1.00481E-04     -7.36044E-05
  3   3    -6.42236E-04     -1.91441E-04      7.31156E-05     -2.06119E-04
  4   0     8.40846E-06      0.00000E+00      6.29194E-04      0.00000E+00
  4   1     3.60390E-04      1.74669E-04     -2.24501E-04      3.12223E-04
  4   2     9.87455E-05     -1.81261E-04     -6.85618E-05      3.17134E-04
  4   3    -1.44600E-04     -2.14494E-04      1.45297E-04     -1.19611E-04
  4   4    -1.83152E-04      1.06900E-04     -3.20903E-05     -7.39576E-05
  5   0    -3.40228E-04      0.00000E+00     -3.87784E-17      0.00000E+00
  5   1     2.76452E-04      2.11540E-04      2.64205E-17     -6.09607E-17
  5   2     4.82708E-04      7.52529E-06     -4.89758E-18      4.16589E-17
  5   3    -1.20102E-04     -2.08281E-04      1.89836E-17     -1.74605E-17
  5   4    -2.00649E-04     -8.69282E-05      1.42478E-18      3.55991E-18
  5   5     4.28608E-05      1.92254E-04      3.59359E-19      6.37726E-19
  6   0    -1.89096E-16      0.00000E+00     -1.57835E-16      0.00000E+00
  6   1    -4.48634E-16     -3.09407E-16      6.39771E-17      1.86927E-17
  6   2    -2.51638E-17      3.29436E-17     -2.47353E-17      1.18905E-16
  6   3    -1.03211E-17     -7.35683E-18      3.77748E-17     -1.96748E-17
  6   4     6.10372E-18      2.45613E-19      3.84910E-18     -1.49809E-17
