OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  4
  1   0     7.56372E-05      0.00000E+00     -2.39552E-18      0.00000E+00
  1   1    -5.63468E-04      3.80671E-04      3.34527E-04     -6.97525E-04
  2   0     1.45905E-03      0.00000E+00      4.54859E-19      0.00000E+00
  2   1     4.93241E-04      5.05826E-04     -3.66301E-04     -5.42197E-04
  2   2     2.93191E-04      1.17247E-04      2.84201E-04      9.78484E-04
  3   0    -6.74408E-04      0.00000E+00     -2.74938E-18      0.00000E+00
  3   1    -7.87107E-05     -8.56697E-05     -1.93465E-04      5.60097E-05
  3   2    -1.00921E-04      3.04238E-04     -1.83520E-04      4.58916E-04
  3   3     2.04890E-04     -2.48982E-05      4.57109E-04      3.09571E-04
  4   0     4.87399E-04      0.00000E+00     -2.33885E-18      0.00000E+00
  4   1    -9.29677E-05     -3.21123E-04     -1.52790E-04     -3.21676E-04
  4   2    -3.40657E-04     -1.36229E-04     -1.84089E-04      3.49877E-04
  4   3    -1.17007E-04      1.72771E-04      5.08173E-05      4.18182E-04
  4   4    -1.07800E-18     -1.02289E-18      4.08746E-04     -3.21535E-04
  5   0     5.98770E-04      0.00000E+00     -1.31136E-18      0.00000E+00
  5   1     7.00393E-04     -3.32674E-04     -1.46858E-18      1.07328E-17
  5   2    -3.56298E-04     -1.87467E-04      7.05545E-17     -1.80940E-16
  5   3    -2.47811E-04      3.01140E-05     -2.07836E-17     -1.70924E-17
  5   4     1.07178E-04      1.36249E-04      9.38414E-20     -6.28888E-18
  5   5     2.78677E-19     -1.46002E-18      8.20984E-20      2.34396E-18
  6   0     9.61195E-16      0.00000E+00     -3.09237E-19      0.00000E+00
  6   1    -2.39926E-17      3.82483E-16     -1.65935E-16     -3.23872E-16
  6   2     3.09875E-17      1.69814E-17      1.12900E-16     -3.46089E-16
  6   3    -4.85436E-18      1.16858E-17     -1.17403E-17     -9.91034E-17
  6   4    -8.11345E-18     -1.32012E-18     -6.05068E-18      5.35491E-18
  6   5     6.07243E-18      2.83695E-19      7.80549E-19     -5.30854E-18
  6   6     1.02787E-18     -7.15400E-19     -8.61923E-22      2.20952E-18
  7   0     8.64327E-16      0.00000E+00     -5.35223E-19      0.00000E+00
  7   1    -1.60333E-15      8.61907E-16     -1.03975E-16      2.88776E-18
  7   2     3.04869E-16      1.06548E-16      4.04304E-17     -1.01779E-16
  7   3    -4.67560E-17      3.79933E-18     -2.83259E-17     -2.23090E-17
  7   4     1.16196E-17      4.32235E-18     -3.95621E-19     -6.20402E-18
  7   5    -6.46251E-18     -2.89970E-18      1.58483E-18      3.13013E-19
  7   6     6.00887E-18      6.82971E-19     -7.09693E-19     -3.96083E-18
  7   7     1.89674E-18     -1.00940E-18      1.95040E-19      2.05273E-18
  8   0     2.84095E-15      0.00000E+00     -1.42767E-19      0.00000E+00
  8   1    -2.41752E-17      2.41368E-16     -3.31940E-16     -6.28199E-16
  8   2     1.79976E-16      7.51988E-17      3.29631E-17     -1.10457E-16
  8   3    -9.35955E-19     -6.13025E-20     -1.16019E-17     -9.36335E-17
  8   4    -1.60005E-17     -2.39151E-19     -1.18780E-17      6.00338E-18
  8   5     8.30650E-18     -2.88583E-18      1.80897E-19     -6.54365E-18
  8   6    -4.34920E-18      2.53335E-19      1.12930E-18      6.61864E-19
  8   7     5.79977E-18     -3.82276E-19     -3.44188E-19     -2.99905E-18
  8   8     2.21874E-18     -9.49867E-19      1.12453E-19      1.86993E-18
  9   0     7.11123E-16      0.00000E+00     -3.10257E-19      0.00000E+00
  9   1    -2.85108E-16      1.63654E-16     -1.33342E-16     -2.31413E-18
  9   2     5.47599E-16      1.90868E-16     -1.13322E-18      2.82272E-18
  9   3     1.44552E-17     -3.04591E-18     -2.25239E-17     -1.69338E-17
  9   4     5.36912E-18      3.09304E-18     -2.05635E-19     -1.98495E-18
  9   5    -1.62312E-17     -2.44567E-18     -8.56779E-20     -2.53540E-18
  9   6     8.97453E-18     -2.03528E-18     -1.27263E-18     -5.80943E-18
  9   7    -1.82688E-18     -9.04649E-19      1.14328E-18      1.22422E-18
  9   8     5.34349E-18      6.14538E-19     -5.33042E-19     -2.87966E-18
