OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
  1   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  1   1     1.39647E-03     -3.77628E-05      0.00000E+00      0.00000E+00
  2   0    -1.13993E-03      0.00000E+00      0.00000E+00      0.00000E+00
  2   1     0.00000E+00      0.00000E+00      1.21124E-05      4.47916E-04
  2   2     8.67274E-04     -4.69395E-05      0.00000E+00      0.00000E+00
  3   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  3   1     6.64903E-04     -1.79801E-05      0.00000E+00      0.00000E+00
  3   2     0.00000E+00      0.00000E+00      1.83680E-05      3.39375E-04
  3   3     4.02102E-04     -3.26843E-05      0.00000E+00      0.00000E+00
  4   0    -1.17433E-03      0.00000E+00      0.00000E+00      0.00000E+00
  4   1     0.00000E+00      0.00000E+00     -8.76271E-07     -3.24044E-05
  4   2     8.94924E-04     -4.84360E-05      0.00000E+00      0.00000E+00
  4   3     0.00000E+00      0.00000E+00      1.33418E-05      1.64139E-04
  4   4     1.66220E-04     -1.80455E-05      0.00000E+00      0.00000E+00
  5   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  5   1    -6.65512E-04      1.79966E-05      0.00000E+00      0.00000E+00
  5   2     0.00000E+00      0.00000E+00      1.00442E-06      1.85582E-05
  5   3     5.75422E-04     -4.67725E-05      0.00000E+00      0.00000E+00
  5   4     0.00000E+00      0.00000E+00      7.35188E-06      6.77193E-05
  5   5     6.46446E-05     -8.79200E-06      0.00000E+00      0.00000E+00
  6   0    -1.87438E-04      0.00000E+00      0.00000E+00      0.00000E+00
  6   1     0.00000E+00      0.00000E+00     -4.64813E-07     -1.71887E-05
  6   2    -4.01754E-05      2.17442E-06      0.00000E+00      0.00000E+00
  6   3     0.00000E+00      0.00000E+00      2.32021E-06      2.85446E-05
  6   4     2.95998E-04     -3.21348E-05      0.00000E+00      0.00000E+00
  6   5     0.00000E+00      0.00000E+00      3.51648E-06      2.58555E-05
  6   6     2.42074E-05     -3.96152E-06      0.00000E+00      0.00000E+00
  7   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  7   1    -3.77756E-04      1.02152E-05      0.00000E+00      0.00000E+00
  7   2     0.00000E+00      0.00000E+00     -6.03117E-07     -1.11434E-05
  7   3     1.35748E-04     -1.10341E-05      0.00000E+00      0.00000E+00
  7   4     0.00000E+00      0.00000E+00      2.19563E-06      2.02242E-05
  7   5     1.36188E-04     -1.85222E-05      0.00000E+00      0.00000E+00
  7   6     0.00000E+00      0.00000E+00      1.54508E-06      9.44147E-06
  7   7     8.83403E-06     -1.69205E-06      0.00000E+00      0.00000E+00
  8   0     1.23473E-04      0.00000E+00      0.00000E+00      0.00000E+00
  8   1     0.00000E+00      0.00000E+00     -3.43050E-08     -1.26859E-06
  8   2    -2.07487E-04      1.12298E-05      0.00000E+00      0.00000E+00
  8   3     0.00000E+00      0.00000E+00     -2.13216E-07     -2.62311E-06
