OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
  1   0    -7.23652E-04      0.00000E+00      0.00000E+00      0.00000E+00
  1   1     9.88413E-04     -2.67284E-05      0.00000E+00      0.00000E+00
  2   0    -8.06840E-04      0.00000E+00      0.00000E+00      0.00000E+00
  2   1     1.02392E-03     -2.76886E-05      0.00000E+00      0.00000E+00
  2   2     6.13853E-04     -3.32236E-05      0.00000E+00      0.00000E+00
  3   0    -1.01858E-03      0.00000E+00      0.00000E+00      0.00000E+00
  3   1     4.70616E-04     -1.27263E-05      0.00000E+00      0.00000E+00
  3   2     8.43609E-04     -4.56587E-05      0.00000E+00      0.00000E+00
  3   3     2.84606E-04     -2.31339E-05      0.00000E+00      0.00000E+00
  4   0    -8.31188E-04      0.00000E+00      0.00000E+00      0.00000E+00
  4   1    -1.77309E-04      4.79476E-06      0.00000E+00      0.00000E+00
  4   2     6.33424E-04     -3.42828E-05      0.00000E+00      0.00000E+00
  4   3     4.42794E-04     -3.59919E-05      0.00000E+00      0.00000E+00
  4   4     1.17650E-04     -1.27726E-05      0.00000E+00      0.00000E+00
  5   0    -4.53842E-04      0.00000E+00      0.00000E+00      0.00000E+00
  5   1    -4.71047E-04      1.27379E-05      0.00000E+00      0.00000E+00
  5   2     2.57201E-04     -1.39205E-05      0.00000E+00      0.00000E+00
  5   3     4.07282E-04     -3.31054E-05      0.00000E+00      0.00000E+00
  5   4     1.99469E-04     -2.16551E-05      0.00000E+00      0.00000E+00
  5   5     4.57552E-05     -6.22294E-06      0.00000E+00      0.00000E+00
  6   0    -1.32668E-04      0.00000E+00      0.00000E+00      0.00000E+00
  6   1    -4.38519E-04      1.18583E-05      0.00000E+00      0.00000E+00
  6   2    -2.84360E-05      1.53904E-06      0.00000E+00      0.00000E+00
  6   3     2.54712E-04     -2.07040E-05      0.00000E+00      0.00000E+00
  6   4     2.09507E-04     -2.27449E-05      0.00000E+00      0.00000E+00
  6   5     8.31029E-05     -1.13024E-05      0.00000E+00      0.00000E+00
  6   6     1.71339E-05     -2.80395E-06      0.00000E+00      0.00000E+00
  7   0     3.99194E-05      0.00000E+00      0.00000E+00      0.00000E+00
  7   1    -2.67374E-04      7.23027E-06      0.00000E+00      0.00000E+00
  7   2    -1.48676E-04      8.04679E-06      0.00000E+00      0.00000E+00
  7   3     9.60819E-05     -7.80990E-06      0.00000E+00      0.00000E+00
  7   4     1.60002E-04     -1.73705E-05      0.00000E+00      0.00000E+00
  7   5     9.63932E-05     -1.31100E-05      0.00000E+00      0.00000E+00
  7   6     3.29987E-05     -5.40020E-06      0.00000E+00      0.00000E+00
  7   7     6.25269E-06     -1.19763E-06      0.00000E+00      0.00000E+00
  8   0     8.73936E-05      0.00000E+00      0.00000E+00      0.00000E+00
  8   1    -1.03999E-04      2.81232E-06      0.00000E+00      0.00000E+00
  8   2    -1.46859E-04      7.94844E-06      0.00000E+00      0.00000E+00
  8   3    -7.10894E-06      5.77842E-07      0.00000E+00      0.00000E+00
  8   4     9.00532E-05     -9.77655E-06      0.00000E+00      0.00000E+00
  8   5     8.39265E-05     -1.14144E-05      0.00000E+00      0.00000E+00
  8   6     4.14471E-05     -6.78277E-06      0.00000E+00      0.00000E+00
  8   7     1.26798E-05     -2.42867E-06      0.00000E+00      0.00000E+00
  8   8     2.23934E-06     -4.92023E-07      0.00000E+00      0.00000E+00
  9   0     7.00345E-05      0.00000E+00      0.00000E+00      0.00000E+00
  9   1    -5.95110E-06      1.60928E-07      0.00000E+00      0.00000E+00
  9   2    -9.41774E-05      5.09717E-06      0.00000E+00      0.00000E+00
  9   3    -4.80429E-05      3.90511E-06      0.00000E+00      0.00000E+00
  9   4     3.14824E-05     -3.41786E-06      0.00000E+00      0.00000E+00
  9   5     5.72901E-05     -7.79175E-06      0.00000E+00      0.00000E+00
  9   6     3.98142E-05     -6.51555E-06      0.00000E+00      0.00000E+00
  9   7     1.70237E-05     -3.26069E-06      0.00000E+00      0.00000E+00
  9   8     4.75634E-06     -1.04505E-06      0.00000E+00      0.00000E+00
  9   9     7.90580E-07     -1.96249E-07      0.00000E+00      0.00000E+00
 10   0     3.64478E-05      0.00000E+00      0.00000E+00      0.00000E+00
 10   1     3.04486E-05     -8.23382E-07      0.00000E+00      0.00000E+00
 10   2    -4.08025E-05      2.20836E-06      0.00000E+00      0.00000E+00
 10   3    -4.79377E-05      3.89655E-06      0.00000E+00      0.00000E+00
 10   4    -3.03685E-06      3.29693E-07      0.00000E+00      0.00000E+00
 10   5     2.97914E-05     -4.05179E-06      0.00000E+00      0.00000E+00
 10   6     3.08627E-05     -5.05064E-06      0.00000E+00      0.00000E+00
 10   7     1.76981E-05     -3.38985E-06      0.00000E+00      0.00000E+00
 10   8     6.76360E-06     -1.48608E-06      0.00000E+00      0.00000E+00
 10   9     1.75140E-06     -4.34758E-07      0.00000E+00      0.00000E+00
 10  10     2.75955E-07     -7.64773E-08      0.00000E+00      0.00000E+00
 11   0     1.05951E-05      0.00000E+00      0.00000E+00      0.00000E+00
 11   1     3.09320E-05     -8.36454E-07      0.00000E+00      0.00000E+00
 11   2    -6.93059E-06      3.75105E-07      0.00000E+00      0.00000E+00
 11   3    -3.13248E-05      2.54620E-06      0.00000E+00      0.00000E+00
 11   4    -1.58536E-05      1.72113E-06      0.00000E+00      0.00000E+00
 11   5     9.54630E-06     -1.29835E-06      0.00000E+00      0.00000E+00
 11   6     1.94248E-05     -3.17884E-06      0.00000E+00      0.00000E+00
 11   7     1.50931E-05     -2.89090E-06      0.00000E+00      0.00000E+00
 11   8     7.51363E-06     -1.65088E-06      0.00000E+00      0.00000E+00
 11   9     2.61989E-06     -6.50347E-07      0.00000E+00      0.00000E+00
 11  10     6.35439E-07     -1.76103E-07      0.00000E+00      0.00000E+00
 11  11     9.54352E-08     -2.92485E-08      0.00000E+00      0.00000E+00
 12   0    -2.27965E-06      0.00000E+00      0.00000E+00      0.00000E+00
 12   1     1.88792E-05     -5.10525E-07      0.00000E+00      0.00000E+00
 12   2     7.24962E-06     -3.92372E-07      0.00000E+00      0.00000E+00
 12   3    -1.42759E-05      1.16040E-06      0.00000E+00      0.00000E+00
 12   4    -1.55142E-05      1.68428E-06      0.00000E+00      0.00000E+00
 12   5    -1.49705E-06      2.03607E-07      0.00000E+00      0.00000E+00
 12   6     9.43205E-06     -1.54354E-06      0.00000E+00      0.00000E+00
 12   7     1.07630E-05     -2.06153E-06      0.00000E+00      0.00000E+00
 12   8     6.91964E-06     -1.52037E-06      0.00000E+00      0.00000E+00
 12   9     3.08193E-06     -7.65042E-07      0.00000E+00      0.00000E+00
 12  10     9.94631E-07     -2.75649E-07      0.00000E+00      0.00000E+00
 12  11     2.27766E-07     -6.98045E-08      0.00000E+00      0.00000E+00
 12  12     3.27504E-08     -1.10141E-08      0.00000E+00      0.00000E+00
 13   0    -5.62474E-06      0.00000E+00      0.00000E+00      0.00000E+00
 13   1     7.37693E-06     -1.99485E-07      0.00000E+00      0.00000E+00
 13   2     9.20052E-06     -4.97960E-07      0.00000E+00      0.00000E+00
 13   3    -3.19253E-06      2.59501E-07      0.00000E+00      0.00000E+00
 13   4    -1.01435E-05      1.10122E-06      0.00000E+00      0.00000E+00
 13   5    -5.29393E-06      7.20002E-07      0.00000E+00      0.00000E+00
 13   6     2.71942E-06     -4.45030E-07      0.00000E+00      0.00000E+00
 13   7     6.34385E-06     -1.21509E-06      0.00000E+00      0.00000E+00
 13   8     5.41715E-06     -1.19025E-06      0.00000E+00      0.00000E+00
 13   9     3.02768E-06     -7.51575E-07      0.00000E+00      0.00000E+00
 13  10     1.23061E-06     -3.41047E-07      0.00000E+00      0.00000E+00
 13  11     3.71471E-07     -1.13847E-07      0.00000E+00      0.00000E+00
 13  12     8.08116E-08     -2.71773E-08      0.00000E+00      0.00000E+00
 13  13     1.11650E-08     -4.09400E-09      0.00000E+00      0.00000E+00
 14   0    -4.45838E-06      0.00000E+00      0.00000E+00      0.00000E+00
 14   1     6.50565E-07     -1.75924E-08      0.00000E+00      0.00000E+00
 14   2     6.25456E-06     -3.38516E-07      0.00000E+00      0.00000E+00
 14   3     1.73109E-06     -1.40709E-07      0.00000E+00      0.00000E+00
 14   4    -4.72880E-06      5.13378E-07      0.00000E+00      0.00000E+00
 14   5    -4.99797E-06      6.79750E-07      0.00000E+00      0.00000E+00
 14   6    -7.02220E-07      1.14917E-07      0.00000E+00      0.00000E+00
 14   7     2.88642E-06     -5.52860E-07      0.00000E+00      0.00000E+00
 14   8     3.61698E-06     -7.94714E-07      0.00000E+00      0.00000E+00
 14   9     2.55480E-06     -6.34190E-07      0.00000E+00      0.00000E+00
 14  10     1.27841E-06     -3.54294E-07      0.00000E+00      0.00000E+00
 14  11     4.80847E-07     -1.47368E-07      0.00000E+00      0.00000E+00
 14  12     1.36852E-07     -4.60239E-08      0.00000E+00      0.00000E+00
 14  13     2.84229E-08     -1.04221E-08      0.00000E+00      0.00000E+00
 14  14     3.78457E-09     -1.50499E-09      0.00000E+00      0.00000E+00
 15   0    -2.27979E-06      0.00000E+00      0.00000E+00      0.00000E+00
 15   1    -1.80310E-06      4.87590E-08      0.00000E+00      0.00000E+00
 15   2     2.82761E-06     -1.53039E-07      0.00000E+00      0.00000E+00
 15   3     2.70694E-06     -2.20030E-07      0.00000E+00      0.00000E+00
 15   4    -1.19185E-06      1.29392E-07      0.00000E+00      0.00000E+00
 15   5    -3.23371E-06      4.39801E-07      0.00000E+00      0.00000E+00
 15   6    -1.77506E-06      2.90486E-07      0.00000E+00      0.00000E+00
 15   7     7.26753E-07     -1.39201E-07      0.00000E+00      0.00000E+00
 15   8     2.01323E-06     -4.42342E-07      0.00000E+00      0.00000E+00
 15   9     1.87076E-06     -4.64388E-07      0.00000E+00      0.00000E+00
 15  10     1.14883E-06     -3.18384E-07      0.00000E+00      0.00000E+00
 15  11     5.24778E-07     -1.60831E-07      0.00000E+00      0.00000E+00
 15  12     1.84551E-07     -6.20652E-08      0.00000E+00      0.00000E+00
 15  13     4.98342E-08     -1.82732E-08      0.00000E+00      0.00000E+00
 15  14     9.92125E-09     -3.94534E-09      0.00000E+00      0.00000E+00
 15  15     1.27639E-09     -5.47984E-10      0.00000E+00      0.00000E+00
 16   0    -6.53185E-07      0.00000E+00      0.00000E+00      0.00000E+00
 16   1    -1.87201E-06      5.06224E-08      0.00000E+00      0.00000E+00
 16   2     5.93215E-07     -3.21066E-08      0.00000E+00      0.00000E+00
 16   3     1.98660E-06     -1.61479E-07      0.00000E+00      0.00000E+00
 16   4     4.25621E-07     -4.62072E-08      0.00000E+00      0.00000E+00
 16   5    -1.51719E-06      2.06346E-07      0.00000E+00      0.00000E+00
 16   6    -1.60369E-06      2.62441E-07      0.00000E+00      0.00000E+00
 16   7    -3.05847E-07      5.85814E-08      0.00000E+00      0.00000E+00
 16   8     8.57567E-07     -1.88423E-07      0.00000E+00      0.00000E+00
 16   9     1.18176E-06     -2.93354E-07      0.00000E+00      0.00000E+00
 16  10     9.05607E-07     -2.50977E-07      0.00000E+00      0.00000E+00
 16  11     4.97973E-07     -1.52616E-07      0.00000E+00      0.00000E+00
 16  12     2.10516E-07     -7.07975E-08      0.00000E+00      0.00000E+00
 16  13     6.97693E-08     -2.55830E-08      0.00000E+00      0.00000E+00
 16  14     1.79654E-08     -7.14423E-09      0.00000E+00      0.00000E+00
 16  15     3.44000E-09     -1.47687E-09      0.00000E+00      0.00000E+00
 16  16     4.28544E-10     -1.97870E-10      0.00000E+00      0.00000E+00
 17   0     1.34608E-07      0.00000E+00      0.00000E+00      0.00000E+00
 17   1    -1.13874E-06      3.07934E-08      0.00000E+00      0.00000E+00
 17   2    -3.64999E-07      1.97549E-08      0.00000E+00      0.00000E+00
 17   3     9.81237E-07     -7.97587E-08      0.00000E+00      0.00000E+00
 17   4     7.99538E-07     -8.68011E-08      0.00000E+00      0.00000E+00
 17   5    -4.04185E-07      5.49712E-08      0.00000E+00      0.00000E+00
 17   6    -1.01973E-06      1.66877E-07      0.00000E+00      0.00000E+00
 17   7    -5.94436E-07      1.13857E-07      0.00000E+00      0.00000E+00
 17   8     1.79169E-07     -3.93667E-08      0.00000E+00      0.00000E+00
 17   9     6.23881E-07     -1.54869E-07      0.00000E+00      0.00000E+00
 17  10     6.27446E-07     -1.73888E-07      0.00000E+00      0.00000E+00
 17  11     4.17532E-07     -1.27963E-07      0.00000E+00      0.00000E+00
 17  12     2.09603E-07     -7.04904E-08      0.00000E+00      0.00000E+00
 17  13     8.28428E-08     -3.03768E-08      0.00000E+00      0.00000E+00
 17  14     2.60366E-08     -1.03539E-08      0.00000E+00      0.00000E+00
 17  15     6.41981E-09     -2.75618E-09      0.00000E+00      0.00000E+00
 17  16     1.18565E-09     -5.47446E-10      0.00000E+00      0.00000E+00
 17  17     1.43298E-10     -7.09252E-11      0.00000E+00      0.00000E+00
 18   0     3.32007E-07      0.00000E+00      0.00000E+00      0.00000E+00
 18   1    -4.43195E-07      1.19848E-08      0.00000E+00      0.00000E+00
 18   2    -5.27138E-07      2.85303E-08      0.00000E+00      0.00000E+00
 18   3     2.72611E-07     -2.21588E-08      0.00000E+00      0.00000E+00
 18   4     6.19054E-07     -6.72071E-08      0.00000E+00      0.00000E+00
 18   5     1.10456E-07     -1.50226E-08      0.00000E+00      0.00000E+00
 18   6    -4.76443E-07      7.79693E-08      0.00000E+00      0.00000E+00
 18   7    -5.12332E-07      9.81311E-08      0.00000E+00      0.00000E+00
 18   8    -1.25083E-07      2.74830E-08      0.00000E+00      0.00000E+00
 18   9     2.47661E-07     -6.14781E-08      0.00000E+00      0.00000E+00
 18  10     3.77405E-07     -1.04593E-07      0.00000E+00      0.00000E+00
 18  11     3.11251E-07     -9.53906E-08      0.00000E+00      0.00000E+00
 18  12     1.85362E-07     -6.23378E-08      0.00000E+00      0.00000E+00
 18  13     8.61190E-08     -3.15782E-08      0.00000E+00      0.00000E+00
 18  14     3.20725E-08     -1.27541E-08      0.00000E+00      0.00000E+00
 18  15     9.60742E-09     -4.12469E-09      0.00000E+00      0.00000E+00
 18  16     2.27621E-09     -1.05099E-09      0.00000E+00      0.00000E+00
 18  17     4.06459E-10     -2.01176E-10      0.00000E+00      0.00000E+00
 18  18     4.77391E-11     -2.52573E-11      0.00000E+00      0.00000E+00
 19   0     2.59828E-07      0.00000E+00      0.00000E+00      0.00000E+00
 19   1    -4.17031E-08      1.12772E-09      0.00000E+00      0.00000E+00
 19   2    -3.67648E-07      1.98982E-08      0.00000E+00      0.00000E+00
 19   3    -6.23709E-08      5.06974E-09      0.00000E+00      0.00000E+00
 19   4     3.23916E-07     -3.51657E-08      0.00000E+00      0.00000E+00
 19   5     2.38496E-07     -3.24367E-08      0.00000E+00      0.00000E+00
 19   6    -1.29475E-07      2.11885E-08      0.00000E+00      0.00000E+00
 19   7    -3.18772E-07      6.10569E-08      0.00000E+00      0.00000E+00
 19   8    -1.98153E-07      4.35378E-08      0.00000E+00      0.00000E+00
 19   9     3.88716E-08     -9.64927E-09      0.00000E+00      0.00000E+00
 19  10     1.89305E-07     -5.24633E-08      0.00000E+00      0.00000E+00
