OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
  1   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  1   1     0.00000E+00      0.00000E+00      9.93370E-05      3.67347E-03
  2   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  2   1     0.00000E+00      0.00000E+00      2.32236E-05      8.58805E-04
  2   2     0.00000E+00      0.00000E+00      7.51397E-05      1.38831E-03
  3   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  3   1     0.00000E+00      0.00000E+00      2.73052E-06      1.00974E-04
  3   2     0.00000E+00      0.00000E+00      3.52176E-05      6.50694E-04
  3   3     0.00000E+00      0.00000E+00      3.79907E-05      4.67384E-04
  4   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  4   1     0.00000E+00      0.00000E+00     -1.68010E-06     -6.21300E-05
  4   2     0.00000E+00      0.00000E+00      1.17385E-05      2.16885E-04
  4   3     0.00000E+00      0.00000E+00      2.55807E-05      3.14708E-04
  4   4     0.00000E+00      0.00000E+00      1.65042E-05      1.52023E-04
  5   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  5   1     0.00000E+00      0.00000E+00     -1.65815E-06     -6.13182E-05
  5   2     0.00000E+00      0.00000E+00      1.92582E-06      3.55822E-05
  5   3     0.00000E+00      0.00000E+00      1.24713E-05      1.53429E-04
  5   4     0.00000E+00      0.00000E+00      1.40960E-05      1.29840E-04
  5   5     0.00000E+00      0.00000E+00      6.63366E-06      4.87751E-05
  6   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  6   1     0.00000E+00      0.00000E+00     -8.91202E-07     -3.29565E-05
  6   2     0.00000E+00      0.00000E+00     -9.48004E-07     -1.75157E-05
  6   3     0.00000E+00      0.00000E+00      4.44862E-06      5.47295E-05
  6   4     0.00000E+00      0.00000E+00      8.69822E-06      8.01206E-05
  6   5     0.00000E+00      0.00000E+00      6.74227E-06      4.95736E-05
  6   6     0.00000E+00      0.00000E+00      2.54470E-06      1.55498E-05
  7   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  7   1     0.00000E+00      0.00000E+00     -3.32466E-07     -1.22946E-05
  7   2     0.00000E+00      0.00000E+00     -1.15638E-06     -2.13657E-05
  7   3     0.00000E+00      0.00000E+00      7.77264E-07      9.56235E-06
  7   4     0.00000E+00      0.00000E+00      4.20975E-06      3.87766E-05
  7   5     0.00000E+00      0.00000E+00      4.93157E-06      3.62601E-05
  7   6     0.00000E+00      0.00000E+00      2.96244E-06      1.81024E-05
  7   7     0.00000E+00      0.00000E+00      9.46415E-07      4.94113E-06
  8   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  8   1     0.00000E+00      0.00000E+00     -6.57741E-08     -2.43232E-06
  8   2     0.00000E+00      0.00000E+00     -7.04058E-07     -1.30085E-05
  8   3     0.00000E+00      0.00000E+00     -4.08807E-07     -5.02938E-06
  8   4     0.00000E+00      0.00000E+00      1.51002E-06      1.39090E-05
  8   5     0.00000E+00      0.00000E+00      2.89351E-06      2.12750E-05
  8   6     0.00000E+00      0.00000E+00      2.47350E-06      1.51147E-05
  8   7     0.00000E+00      0.00000E+00      1.23063E-06      6.42499E-06
  8   8     0.00000E+00      0.00000E+00      3.44350E-07      1.56723E-06
  9   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  9   1     0.00000E+00      0.00000E+00      2.12868E-08      7.87184E-07
  9   2     0.00000E+00      0.00000E+00     -2.98856E-07     -5.52179E-06
  9   3     0.00000E+00      0.00000E+00     -5.26789E-07     -6.48087E-06
  9   4     0.00000E+00      0.00000E+00      2.51179E-07      2.31365E-06
  9   5     0.00000E+00      0.00000E+00      1.37095E-06      1.00801E-05
  9   6     0.00000E+00      0.00000E+00      1.67207E-06      1.02174E-05
  9   7     0.00000E+00      0.00000E+00      1.14463E-06      5.97599E-06
  9   8     0.00000E+00      0.00000E+00      4.91354E-07      2.23629E-06
  9   9     0.00000E+00      0.00000E+00      1.23260E-07      4.96545E-07
 10   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
 10   1     0.00000E+00      0.00000E+00      3.10281E-08      1.14741E-06
 10   2     0.00000E+00      0.00000E+00     -7.71682E-08     -1.42579E-06
 10   3     0.00000E+00      0.00000E+00     -3.39783E-07     -4.18021E-06
 10   4     0.00000E+00      0.00000E+00     -1.66598E-07     -1.53456E-06
 10   5     0.00000E+00      0.00000E+00      4.81309E-07      3.53891E-06
 10   6     0.00000E+00      0.00000E+00      9.42223E-07      5.75759E-06
 10   7     0.00000E+00      0.00000E+00      8.65693E-07      4.51969E-06
 10   8     0.00000E+00      0.00000E+00      5.00479E-07      2.27783E-06
 10   9     0.00000E+00      0.00000E+00      1.90501E-07      7.67423E-07
 10  10     0.00000E+00      0.00000E+00      4.35668E-08      1.57203E-07
 11   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
