OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
  1   0     7.83124E-20      0.00000E+00      0.00000E+00      0.00000E+00
  1   1     9.55997E-18     -3.31482E-19      8.15102E-37      2.17361E-35
  2   0    -3.40526E-03      0.00000E+00      0.00000E+00      0.00000E+00
  2   1    -4.50822E-35      2.01260E-37      1.05132E-19      2.89795E-18
  2   2     8.26799E-18     -6.26785E-19     -2.10065E-36      3.22016E-36
  3   0     0.00000E+00      0.00000E+00      0.00000E+00      0.00000E+00
  3   1     1.06865E-17     -3.88572E-19      3.52205E-37     -1.69058E-35
  3   2    -7.55127E-35     -8.24159E-36      2.47251E-19      3.21806E-18
  3   3     7.14174E-18     -1.24070E-18      5.71782E-36      1.60693E-35
  4   0     1.02207E-15      0.00000E+00      0.00000E+00      0.00000E+00
  4   1    -5.56443E-35      1.73888E-36      1.35185E-20      3.71883E-19
  4   2     1.31620E-17     -9.74952E-19     -8.83028E-37      2.91263E-35
  4   3    -1.14006E-34     -2.17089E-35      5.12727E-19      2.87958E-18
  4   4     5.84715E-18     -1.05307E-18      8.03958E-37      1.85342E-35
  5   0     2.04192E-19      0.00000E+00      0.00000E+00      0.00000E+00
  5   1     5.41776E-18     -2.31324E-19      1.32831E-37     -4.25061E-36
  5   2     5.61080E-34      9.20965E-36      5.27270E-20      7.73890E-19
  5   3     1.33698E-17     -2.29765E-18     -3.98494E-37      2.94443E-36
  5   4    -1.25670E-34     -4.53841E-37      4.37849E-19      2.37143E-18
  5   5     6.09550E-18     -6.27790E-19     -6.30755E-37     -1.39394E-35
  6   0    -1.88900E-15      0.00000E+00      0.00000E+00      0.00000E+00
  6   1     6.88930E-34      2.03330E-35      3.23599E-21      1.15241E-19
  6   2     8.65057E-18     -7.39877E-19     -2.74720E-36      2.18281E-35
  6   3    -7.17635E-36     -4.93374E-36      1.75544E-19      9.71800E-19
  6   4     1.19657E-17     -2.06313E-18     -6.96727E-37     -5.35353E-35
  6   5    -6.19311E-35     -7.75277E-36      2.64298E-19      2.44590E-18
  6   6     5.81132E-18     -1.29833E-18     -1.48767E-36     -1.59661E-35
