OPTIMAL FLOW WITH TARGET RMS   1.30E+01     LMAX_U  25 LMAX_B  1
  1   0    -8.24673E-20      0.00000E+00      4.57906E-28      0.00000E+00
  1   1    -1.18602E-19      3.05899E-19     -2.55394E-03      2.55394E-03
  2   0     1.73675E-13      0.00000E+00     -1.24808E-30      0.00000E+00
  2   1     1.47452E-03      1.47452E-03     -3.69114E-20     -1.69777E-20
  2   2    -1.78581E-21     -1.00271E-13      2.52082E-18     -5.78548E-18
  3   0     3.19862E-20      0.00000E+00     -1.47725E-31      0.00000E+00
  3   1    -5.30942E-20      2.65705E-20      4.03815E-17     -4.03498E-17
  3   2    -6.78187E-18     -3.00931E-18      3.93027E-20     -3.05402E-20
  3   3     1.53657E-20      5.04143E-22      1.05580E-18     -4.20730E-18
  4   0     4.90498E-21      0.00000E+00      2.20797E-31      0.00000E+00
  4   1    -5.57446E-16     -5.57292E-16     -9.95266E-22      7.92293E-22
  4   2     1.87051E-21     -5.14783E-22      1.12971E-19     -3.53726E-19
  4   3    -6.95767E-18     -1.80274E-18     -7.63506E-21     -9.67782E-21
  4   4     5.54540E-21     -6.68271E-21      4.88105E-19     -3.89092E-18
  5   0     6.43228E-20      0.00000E+00      1.83390E-30      0.00000E+00
  5   1     1.71369E-19      2.00699E-19      2.22042E-17     -2.22164E-17
  5   2    -2.07575E-18     -9.43414E-19      3.74183E-21     -3.85567E-21
  5   3    -5.12187E-20     -1.18867E-19      1.21101E-19     -4.97192E-19
  5   4    -8.01938E-18     -9.89506E-19     -1.79888E-20      1.86644E-20
  5   5     1.66335E-20     -3.72756E-22      1.24697E-19     -2.97982E-18
  6   0    -3.91855E-20      0.00000E+00      3.42934E-31      0.00000E+00
  6   1    -4.83311E-16     -4.83479E-16      9.90432E-21      1.12013E-20
  6   2     6.03072E-20     -3.77781E-20      2.96977E-20     -6.18878E-20
  6   3    -3.11086E-18     -8.81240E-19      2.74692E-21      1.28265E-20
  6   4     3.44481E-20     -1.19003E-19      8.23281E-20     -6.76921E-19
  6   5    -7.27546E-18     -4.44996E-19     -3.39398E-21     -4.23442E-21
  6   6    -3.36509E-20     -1.94043E-20     -8.60791E-19     -2.86432E-18
  7   0    -1.36671E-19      0.00000E+00     -2.52254E-30      0.00000E+00
  7   1     2.30120E-20     -3.66528E-19      6.24721E-18     -6.26520E-18
  7   2    -1.08537E-18     -4.52302E-19     -1.78337E-21      1.52667E-21
  7   3     1.86915E-20     -1.68941E-19      3.50239E-20     -1.31982E-19
  7   4    -4.36816E-18     -5.74771E-19     -4.29961E-22     -8.77747E-21
  7   5     5.33286E-20     -3.89710E-21      3.68024E-20     -6.72239E-19
  7   6    -7.88869E-18      2.30256E-18     -7.99328E-21      6.63147E-21
  7   7    -6.14534E-21      3.50875E-20     -1.28150E-19     -2.13936E-18
  8   0     4.97802E-20      0.00000E+00      3.43813E-31      0.00000E+00
  8   1    -7.91585E-18     -7.60856E-18      7.77853E-21     -6.90837E-21
  8   2    -2.39934E-20     -3.52082E-21      1.58111E-20     -1.40791E-20
  8   3    -1.79840E-18     -4.92549E-19      7.02526E-21     -1.03235E-21
  8   4     5.42788E-20      2.76299E-20      2.69470E-20     -2.15522E-19
  8   5    -4.54555E-18     -2.90877E-19      1.51709E-21      9.91780E-21
  8   6     2.18661E-20      5.41392E-21     -2.31242E-19     -7.51736E-19
  8   7    -6.52998E-18      4.47453E-19      9.53315E-21      6.96787E-21
  8   8     6.41597E-21     -3.49353E-21     -5.18220E-19     -2.62888E-18
  9   0    -9.61536E-20      0.00000E+00     -2.55283E-30      0.00000E+00
  9   1     8.70009E-20     -2.21709E-19     -3.29016E-18      3.29275E-18
  9   2    -6.51331E-19     -2.23192E-19     -5.63983E-22      4.63505E-21
  9   3     7.27066E-20     -1.00880E-20      1.73696E-20     -5.12723E-20
  9   4    -2.74527E-18     -3.76347E-19      9.00007E-21      2.35154E-21
  9   5    -7.53752E-21      1.13724E-21      1.20110E-20     -2.38711E-19
  9   6    -5.38460E-18      1.62394E-18      2.54101E-21      1.89855E-21
  9   7    -1.39813E-20      4.91522E-20     -4.48202E-20     -6.23925E-19
  9   8    -8.77074E-18      1.73673E-18     -4.99512E-21      2.75716E-21
  9   9     1.59320E-20      7.63266E-21     -4.65385E-19     -2.67998E-18
 10   0    -1.51062E-21      0.00000E+00      1.32953E-31      0.00000E+00
