Table S1. Rock magnetic and paleomagnetic properties of samples from the Horseshoe section,,,,,,,,
Depth,k,NRM,ARM,Incl ChRM,Decl ChRM,MAD,RPI,GRM/NRM
(cm),,(A/m),(A/m),(°),(°),(°),(norm-max),
0,1.60E-06,5.57E-04,2.00E-03,59.7,-2.6,4.3,7.52E-01,3.65E-03
2,2.70E-06,7.01E-04,2.43E-03,61.0,-2.9,2.8,8.09E-01,0.00E+00
4,3.70E-06,6.45E-04,2.45E-03,62.8,-4.7,1.6,7.42E-01,0.00E+00
6,5.20E-06,8.66E-04,3.16E-03,65.0,-3.9,2.9,7.74E-01,4.10E-03
8,3.00E-06,6.60E-04,2.54E-03,65.8,-11.5,5.7,6.87E-01,0.00E+00
10,2.40E-06,5.59E-04,2.17E-03,63.9,-11.5,2.3,6.92E-01,1.09E-02
13,4.00E-06,6.08E-04,2.47E-03,56.8,-4.2,4.6,6.42E-01,0.00E+00
13.1,3.20E-06,5.61E-04,2.27E-03,64.2,-6.6,4.2,6.04E-01,3.43E-02
15,5.30E-06,7.85E-04,3.26E-03,,,,6.04E-01,3.43E-02
15.1,5.00E-06,7.64E-04,2.95E-03,63.3,-3.5,2.0,6.86E-01,0.00E+00
17,5.20E-06,9.22E-04,3.19E-03,65.7,-22.4,2.7,7.81E-01,2.02E-02
18,6.70E-06,1.09E-03,3.68E-03,61.2,-32.7,1.7,8.08E-01,0.00E+00
20,4.10E-06,7.91E-04,2.84E-03,60.9,-30.4,2.4,7.54E-01,6.58E-03
22,4.80E-06,7.21E-04,2.56E-03,59.8,-24.9,3.9,6.99E-01,2.74E-01
24,2.10E-06,6.02E-04,2.08E-03,60.2,-38.1,2.5,8.74E-01,8.38E-03
25,1.40E-06,4.76E-04,1.77E-03,65.0,15.8,5.8,7.45E-01,0.00E+00
26,2.00E-06,4.63E-04,1.71E-03,54.7,-56.8,5.6,7.87E-01,2.59E-02
27,3.00E-06,6.58E-04,2.55E-03,55.0,2.6,6.2,7.84E-01,3.07E-03
29,4.10E-06,8.72E-04,3.03E-03,57.7,-9.6,1.5,8.53E-01,0.00E+00
31,3.80E-06,7.35E-04,2.49E-03,57.7,-7.3,4.7,8.68E-01,0.00E+00
36,3.30E-06,7.29E-04,2.53E-03,62.4,-12.9,2.4,8.67E-01,0.00E+00
38,5.20E-06,9.32E-04,3.08E-03,59.1,-5.2,2.1,9.29E-01,0.00E+00
40,5.30E-06,9.06E-04,3.21E-03,60.6,-12.0,3.0,7.81E-01,0.00E+00
