"SUL 2-15
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0008041± 0.00000019343
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1100-01,12,"1,968E-15","1,446E-03","2,314E-06","2,696E-03","1,887E-06","4,051E-05","1,377E-07","9,087E-06","5,452E-08","3,090E-07","1,582E-08","1,00904","0,2","98,1","765,9","± 4,5","32,0","0,3","1,248E-17","9,823E-06","1,965E-07","1,012E-07","1,194E-08","6,598E-09","6,532E-09","1,000E-09","9,900E-10","2,045E-07","2,045E-08"
N1100-02,12,"1,705E-15","1,254E-03","2,759E-06","2,238E-03","3,133E-06","3,368E-05","1,044E-07","7,350E-06","5,880E-08","4,270E-07","7,686E-09","1,00901","0,2","95,0","774,4","± 4,9","32,9","0,3","1,248E-17","9,823E-06","1,965E-07","1,012E-07","1,194E-08","6,598E-09","6,532E-09","1,000E-09","9,900E-10","2,045E-07","2,045E-08"
N1100-03,12,"1,009E-15","7,462E-04","7,462E-07","1,399E-03","1,819E-06","2,020E-05","1,091E-07","3,896E-06","4,675E-08","2,150E-07","2,150E-08","1,00893","0,2","99,7","769,2","± 9,1","38,8","0,5","1,248E-17","9,823E-06","1,965E-07","1,012E-07","1,194E-08","6,598E-09","6,532E-09","1,000E-09","9,900E-10","2,045E-07","2,045E-08"
N1100-04,12,"1,848E-15","1,357E-03","1,764E-06","2,439E-03","2,195E-06","3,706E-05","1,223E-07","6,494E-06","5,845E-08","4,364E-07","9,164E-09","1,00903","0,2","94,6","767,2","± 4,3","38,3","0,4","1,033E-17","8,137E-06","1,221E-07","8,213E-08","1,429E-08","4,675E-09","4,628E-09","1,228E-08","1,203E-08","1,787E-07","2,019E-08"
N1100-05,12,"1,342E-15","9,877E-04","1,580E-06","1,579E-03","2,211E-06","2,375E-05","1,045E-07","5,268E-06","5,795E-08","7,050E-07","2,327E-08","1,00897","0,2","84,8","771,1","± 8,6","30,6","0,4","1,033E-17","8,137E-06","1,221E-07","8,213E-08","1,429E-08","4,675E-09","4,628E-09","1,228E-08","1,203E-08","1,787E-07","2,019E-08"
N1100-06,12,"1,597E-15","1,174E-03","1,658E-06","2,158E-03","3,021E-07","3,164E-05","1,266E-07","6,312E-06","6,943E-08","2,389E-07","2,078E-08","1,00900","0,2","98,6","781,2","± 6,0","34,9","0,5","1,033E-17","8,137E-06","1,221E-07","8,213E-08","1,429E-08","4,675E-09","4,628E-09","1,228E-08","1,203E-08","1,787E-07","2,019E-08"
N1100-07,12,"9,186E-16","6,796E-04","1,291E-06","1,251E-03","1,501E-06","1,912E-05","1,147E-07","4,027E-06","3,624E-08","2,067E-07","1,406E-08","1,00892","0,2","98,6","774,5","± 5,8","31,8","0,4","1,152E-17","9,073E-06","1,633E-07","7,587E-08","2,018E-08","3,410E-09","3,376E-09","2,764E-08","1,202E-08","1,697E-07","7,127E-09"
N1100-08,12,"1,242E-15","9,157E-04","2,106E-06","1,639E-03","1,967E-06","2,397E-05","1,438E-07","3,471E-06","3,471E-08","3,471E-07","1,562E-08","1,00896","0,2","94,4","765,9","± 5,1","48,4","0,6","1,152E-17","9,073E-06","1,633E-07","7,587E-08","2,018E-08","3,410E-09","3,376E-09","2,764E-08","1,202E-08","1,697E-07","7,127E-09"
N1100-09,12,"1,822E-15","1,339E-03","1,205E-07","2,338E-03","2,571E-06","3,592E-05","1,078E-07","7,332E-06","1,100E-07","4,765E-07","1,477E-08","1,00902","0,2","93,5","780,2","± 3,5","32,6","0,5","1,152E-17","9,073E-06","1,633E-07","7,587E-08","2,018E-08","3,410E-09","3,376E-09","2,764E-08","1,202E-08","1,697E-07","7,127E-09"
N1100-10,12,"1,919E-15","1,410E-03","1,410E-06","2,423E-03","1,938E-06","3,685E-05","1,327E-07","8,255E-06","5,448E-08","6,048E-07","1,270E-08","1,00904","0,2","90,9","770,3","± 3,2","30,0","0,3","1,152E-17","9,073E-06","1,633E-07","7,587E-08","2,018E-08","3,410E-09","3,376E-09","2,764E-08","1,202E-08","1,497E-07","7,127E-09"
N1100-11,12,"1,824E-15","1,339E-03","1,071E-06","1,799E-03","1,979E-06","2,765E-05","1,383E-07","1,576E-05","9,456E-08","1,462E-06","2,485E-08","1,00902","0,2","71,8","778,7","± 8,0","11,4","0,1","9,637E-18","7,588E-06","1,214E-07","1,012E-07","2,591E-08","6,580E-09","6,514E-09","5,160E-09","5,108E-09","1,229E-07","1,942E-08"
N1100-12,12,"1,108E-15","8,165E-04","1,633E-06","1,497E-03","2,395E-06","2,202E-05","1,101E-07","4,969E-06","5,466E-08","1,930E-07","9,650E-09","1,00894","0,2","97,7","773,8","± 6,6","30,1","0,4","9,637E-18","7,588E-06","1,214E-07","1,012E-07","2,591E-08","6,580E-09","6,514E-09","5,160E-09","5,108E-09","1,229E-07","1,942E-08"
N1100-13,12,"1,168E-15","8,598E-04","2,579E-06","1,399E-03","1,702E-06","4,266E-05","1,706E-07","4,296E-06","8,592E-08","5,493E-07","5,108E-08","1,00895","0,2","85,9","767,2","± 16,7","32,5","0,7","9,637E-18","7,588E-06","1,214E-07","1,012E-07","2,591E-08","6,580E-09","6,514E-09","5,160E-09","5,108E-09","1,229E-07","1,942E-08"
N1100-14,12,"1,957E-15","1,439E-03","2,015E-06","2,584E-03","4,134E-06","3,920E-05","1,725E-07","8,252E-06","6,602E-08","5,026E-07","2,764E-08","1,00904","0,2","94,4","765,4","± 5,7","26,8","0,3","1,320E-17","1,040E-05","1,559E-08","4,145E-07","2,073E-08","1,576E-08","1,387E-08","4,982E-08","4,932E-08","2,138E-07","1,604E-08"
N1100-15,12,"2,039E-15","1,499E-03","2,698E-06","2,791E-03","5,861E-06","4,086E-05","1,634E-07","6,566E-06","5,909E-08","3,290E-07","1,119E-08","1,00905","0,2","97,9","765,5","± 4,0","36,5","0,5","1,320E-17","1,040E-05","1,559E-08","4,145E-07","2,073E-08","1,576E-08","1,387E-08","4,982E-08","4,932E-08","2,138E-07","1,604E-08"
N1100-16,12,"2,703E-15","1,983E-03","3,173E-06","3,581E-03","3,581E-06","5,290E-05","1,746E-07","6,055E-06","6,055E-08","5,366E-07","1,556E-08","1,00913","0,2","95,4","770,4","± 3,4","50,8","0,7","1,320E-17","1,040E-05","1,559E-08","4,145E-07","2,073E-08","1,576E-08","1,387E-08","4,982E-08","4,932E-08","2,138E-07","1,604E-08"
N1100-17,12,"1,930E-15","1,419E-03","2,129E-06","2,548E-03","4,274E-06","4,116E-05","1,646E-07","5,785E-06","5,207E-08","4,150E-07","2,760E-08","1,00903","0,2","96,0","778,3","± 5,8","37,9","0,5","1,320E-17","1,040E-05","1,559E-08","4,145E-07","2,073E-08","1,576E-08","1,387E-08","4,982E-08","4,932E-08","2,138E-07","1,604E-08"
N1100-18,12,"2,336E-15","1,714E-03","2,742E-06","3,093E-03","4,021E-06","4,581E-05","8,704E-08","7,105E-06","5,116E-08","4,801E-07","8,162E-09","1,00907","0,2","95,3","770,5","± 3,1","37,2","0,4","1,145E-17","9,016E-06","1,803E-08","1,369E-07","2,286E-08","5,370E-09","5,316E-09","1,349E-08","7,635E-09","1,962E-07","1,373E-08"
N1100-19,12,"1,412E-15","1,039E-03","1,559E-06","1,834E-03","4,218E-06","2,815E-05","1,436E-07","2,723E-06","4,357E-08","4,286E-07","8,571E-08","1,00898","0,2","93,6","770,7","± 20,0","57,7","1,0","1,145E-17","9,016E-06","1,803E-08","1,369E-07","2,286E-08","5,370E-09","4,726E-09","1,349E-08","7,635E-09","1,962E-07","1,373E-08"
N1100-20,12,"1,207E-15","8,902E-04","1,246E-06","1,661E-03","1,827E-06","2,410E-05","9,640E-08","4,785E-06","5,264E-08","2,300E-07","4,600E-08","1,00896","0,2","99,1","770,5","± 12,3","29,7","0,4","1,145E-17","9,016E-06","1,803E-08","1,369E-07","2,286E-08","5,370E-09","4,726E-09","1,349E-08","7,635E-09","1,962E-07","1,373E-08"
N1100-21,12,"2,262E-15","1,660E-03","3,104E-06","2,970E-03","2,079E-06","4,342E-05","1,042E-07","6,886E-06","5,764E-08","5,180E-07","8,288E-09","1,00908","0,2","94,5","770,4","± 2,9","36,8","0,3","1,145E-17","9,016E-06","1,803E-08","1,369E-07","2,286E-08","5,370E-09","4,726E-09","1,349E-08","7,635E-09","1,962E-07","1,373E-08"
D1 Mass discrimina-on per AMU based on power law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interfering Isotope produc,on ra,os
(40Ar/39Ar)k
(36Ar/37Ar)Ca
(39Ar/37Ar)Ca
(38Ar/37Ar)Ca","8.439 E-04 ± 25 %
4.034 E-04 ± 5.96%
5.288 E-04 ± 25 %
1.447 E-04 ± 26 %","Standard
Age
Irr -me
Reactor",,"ACs-2
1.193 ± 0.02 Ma
105 minutes
Osiris 70Mw (France)",,,,,"Weighted Mean age
Inverse Isochron
(40Ar/36Ar)Int (1σ)",,,,,,"Age
ka
771,30
769,80
305.5 ± 7.8","± 1s (analy,cal)
ka
1,00
2,40",,"± 1s (external)
ka
8,30
8,30","MSWD
0,99
0,95",,,,,,,,,,,
"Atmospheric argon ra,os",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(40Ar/36Ar)A,295.5 ± 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(40Ar/38Ar)A,0.1880 ± 0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decay constants (S-J 1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K le (5.81 ± 0.00)E-11 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K lb (4.962 ± 0.000)E-10 a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUL 2-16
Italy, Sulmona","Hea,ng ,me: 60 s
measured 02/15/2012","J=0.0007429± 0.00000014858
Irr 50",,,,,,,,,,,,,,,,,,"BLANKS
10minutes",,,,,,,,,,
,Power,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,%1σ,% 40Ar*,Age,± 1σ,Ca/K,± 1σ,40Ar,40Ar,± 1s,39Ar,± 1s,38Ar,± 1s,37Ar,± 1s,36Ar,± 1s
N,% full power,Moles,V,V,V,V,V,V,V,V,V,V,,,,ka,ka,,,Moles,V,V,V,V,V,V,V,V,V,V
N1102-01,12,"9,047E-16","6,686E-04","1,404E-06","9,786E-04","1,859E-06","2,108E-05","1,476E-07","4,114E-06","5,801E-08","5,463E-07","7,375E-09","1,00892","0,2","85,2","779,1","± 9,2","23,8","0,4","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
N1102-02,12,"8,101E-16","5,996E-04","9,594E-07","9,643E-04","1,541E-06","1,514E-05","7,570E-08","4,054E-06","4,054E-08","2,487E-07","1,306E-08","1,00891","0,2","97,8","812,9","± 10,1","23,8","0,3","1,049E-17","8,263E-06","2,066E-07","9,090E-07","1,945E-07","2,845E-09","2,817E-09","2,236E-08","1,565E-08","1,985E-07","2,064E-08"
