"SUL 2-15Italy, Sulmona","Hea,ng ,me: 60 s","J=0.0007882± 0.00000060488
Irradia,on : 423PRA",,,,,,,,,,,,,,
,40Ar,40Ar,± 1σ,39Ar,± 1σ,38Ar,± 1σ,37Ar,± 1σ,36Ar,± 1σ,D 1,1σ,% 40Ar*,Age,± 1σ
Run-ID,Moles,(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),(nA),,,,ka,ka
36749-01,"1,09E-14","5,494E-01","1,085E-03","6,948E-01","5,071E-04","8,494E-03","5,280E-05","9,655E-03","5,580E-05","5,617E-04","1,490E-05","1,01139","0,0010","69,6","781,6","9,6"
36749-02,"6,39E-15","3,235E-01","1,146E-03","5,348E-01","5,071E-04","6,417E-03","5,000E-05","6,216E-03","4,610E-05","1,005E-04","1,350E-05","1,01139","0,0010","90,9","780,6","11,2"
36749-03,"9,02E-15","4,567E-01","1,137E-03","7,688E-01","5,538E-04","9,151E-03","5,850E-05","7,524E-03","5,590E-05","1,281E-04","1,280E-05","1,01139","0,0010","91,7","774,0","7,5"
36749-04,"6,76E-15","3,423E-01","1,101E-03","5,487E-01","4,978E-04","6,705E-03","5,280E-05","1,106E-02","6,810E-05","1,285E-04","1,320E-05","1,01139","0,0010","89,0","788,7","10,7"
36749-05,"6,46E-15","3,268E-01","1,379E-03","5,271E-01","5,350E-04","6,498E-03","5,380E-05","6,030E-03","5,010E-05","1,245E-04","1,290E-05","1,01139","0,0010","88,8","781,3","11,2"
36749-06,"2,34E-15","1,185E-01","1,118E-03","1,957E-01","2,908E-04","2,350E-03","3,110E-05","3,312E-03","3,880E-05","2,750E-05","1,200E-05","1,01139","0,0010","93,3","801,8","27,5"
36749-07,"1,20E-14","6,092E-01","1,193E-03","8,748E-01","6,870E-04","1,071E-02","6,820E-05","1,373E-02","6,640E-05","2,448E-04","1,380E-05","1,01139","0,0010","88,2","872,0","7,2"
36749-08,"6,99E-15","3,540E-01","1,156E-03","5,750E-01","6,200E-04","7,063E-03","5,850E-05","7,387E-03","5,230E-05","1,406E-04","1,320E-05","1,01139","0,0010","88,3","771,9","10,3"
36749-09,"7,45E-15","3,773E-01","1,146E-03","6,185E-01","5,350E-04","7,484E-03","5,190E-05","7,544E-03","5,040E-05","1,267E-04","1,310E-05","1,01139","0,0010","90,1","780,6","9,5"
36749-10,"8,39E-15","4,245E-01","1,137E-03","7,180E-01","5,821E-04","8,620E-03","4,810E-05","6,490E-03","4,850E-05","1,124E-04","1,300E-05","1,01139","0,0010","92,2","774,0","8,1"
