# age	unconstrained	toroidal
7.940000000000000000e+02	1.472658139543403593e+02	2.901325614072477066e+01
7.938999999999999773e+02	1.492912749480852597e+02	3.180652546251536705e+01
7.937999999999999545e+02	1.505519615657214842e+02	3.016289743003150292e+01
7.937000000000000455e+02	1.483489173265183751e+02	2.517346008263441348e+01
7.936000000000000227e+02	1.460074422929925220e+02	2.474573605409314681e+01
7.935000000000000000e+02	1.443542014760469385e+02	2.897988183179673527e+01
7.933999999999999773e+02	1.425993527898053514e+02	3.342970979251423103e+01
7.932999999999999545e+02	1.398639044587823150e+02	3.497028588841915564e+01
7.932000000000000455e+02	1.363075715602322475e+02	3.228026382272127393e+01
7.931000000000000227e+02	1.320866310510306789e+02	2.642259772474405111e+01
7.930000000000000000e+02	1.263897296875098988e+02	2.147881899901512526e+01
7.928999999999999773e+02	1.199391669224397532e+02	2.132273504522489560e+01
7.927999999999999545e+02	1.136063472359736011e+02	1.837855099689445026e+01
7.927000000000000455e+02	1.087519970797828108e+02	1.106152032107564942e+01
7.926000000000000227e+02	1.066600314737022046e+02	1.303211282243099589e+01
7.925000000000000000e+02	1.043353567133651296e+02	1.622229414444480611e+01
7.923999999999999773e+02	1.015335018863911500e+02	2.105128806715849876e+01
7.922999999999999545e+02	9.965781074284302576e+01	2.850896084071877468e+01
7.922000000000000455e+02	9.851025041664510695e+01	3.299252733529097270e+01
7.921000000000000227e+02	9.640927551097112769e+01	3.139391196967421394e+01
7.920000000000000000e+02	9.412059621698365675e+01	2.765335548350021355e+01
7.918999999999999773e+02	9.236749681427085079e+01	2.523810670438505355e+01
7.917999999999999545e+02	9.105570268341341489e+01	2.482653375535204532e+01
7.917000000000000455e+02	9.037775886697829719e+01	2.624517432247860782e+01
7.916000000000000227e+02	9.094597675134147607e+01	2.901529180737608016e+01
7.915000000000000000e+02	9.163265516972921887e+01	3.071619104748790718e+01
7.913999999999999773e+02	9.171569070412992630e+01	3.025513481135464033e+01
7.912999999999999545e+02	9.182343187797212636e+01	2.825607657576961174e+01
7.912000000000000455e+02	9.300640037917855807e+01	2.587252788984388374e+01
7.911000000000000227e+02	9.609639050560406304e+01	2.379841609170269123e+01
7.910000000000000000e+02	1.019507477055752815e+02	2.273180452519794414e+01
7.908999999999999773e+02	1.102221586407524825e+02	2.133532186319981605e+01
7.907999999999999545e+02	1.211744888589830396e+02	2.244176881211435770e+01
7.907000000000000455e+02	1.344829890307311473e+02	2.968456800487366465e+01
7.906000000000000227e+02	1.457122150609410767e+02	3.701875648979795130e+01
7.905000000000000000e+02	1.482075711301337719e+02	3.536984743979451196e+01
7.903999999999999773e+02	1.444148749283980919e+02	3.137171536332599686e+01
7.902999999999999545e+02	1.377984772046951321e+02	3.136212647463863235e+01
7.902000000000000455e+02	1.301366622577424152e+02	3.114241611576650826e+01
7.901000000000000227e+02	1.224690844013418172e+02	2.615983345840283647e+01
7.900000000000000000e+02	1.169755875023388967e+02	2.302519779682864609e+01
7.898999999999999773e+02	1.135312013705416518e+02	2.354347863714503575e+01
7.897999999999999545e+02	1.114165896069290795e+02	2.665813687059230475e+01
7.897000000000000455e+02	1.089013403848858275e+02	2.918834887921354238e+01
7.896000000000000227e+02	1.046902152673579280e+02	2.883966825996175132e+01
7.895000000000000000e+02	9.920462059215168438e+01	2.669504484324716742e+01
7.893999999999999773e+02	9.420514010318156295e+01	2.613317364721406832e+01
7.892999999999999545e+02	9.015473083952672084e+01	2.707979498485159198e+01
7.892000000000000455e+02	8.686402699315394216e+01	2.880241963799677762e+01
7.891000000000000227e+02	8.468645848664976938e+01	3.180075146555817867e+01
7.890000000000000000e+02	8.337779999990581814e+01	3.461357355234492417e+01
7.888999999999999773e+02	8.178966121149572643e+01	3.531461002753344758e+01
7.887999999999999545e+02	7.998796999267655394e+01	3.455822097197933118e+01
7.887000000000000455e+02	7.846454804245432513e+01	3.333760178083471715e+01
7.886000000000000227e+02	7.752928652884860128e+01	3.191592310723326165e+01
7.885000000000000000e+02	7.716127032214231463e+01	2.967753123843287710e+01
7.883999999999999773e+02	7.735370327924313472e+01	2.698779126983511389e+01
7.882999999999999545e+02	7.826278839489725669e+01	2.604977680103317539e+01
7.882000000000000455e+02	8.107937830429733594e+01	2.777865856918388587e+01
7.881000000000000227e+02	8.425697199056804720e+01	2.597749640334880894e+01
7.880000000000000000e+02	8.762420919251233897e+01	2.102483886710180272e+01
7.878999999999999773e+02	8.885258458186063990e+01	1.880694357394186866e+01
7.877999999999999545e+02	8.721814305462804384e+01	2.274724471217332322e+01
7.877000000000000455e+02	8.520613976129276068e+01	2.962229558516418848e+01
