# age	unconstrained	toroidal
7.940000000000000000e+02	1.473211515711803088e+02	2.909064047837436817e+01
7.938999999999999773e+02	1.493323362544097392e+02	3.191286655212598333e+01
7.937999999999999545e+02	1.505918908749201819e+02	3.029503957082941668e+01
7.937000000000000455e+02	1.483865930714565309e+02	2.533095951266452062e+01
7.936000000000000227e+02	1.460138199420802607e+02	2.485097231426472320e+01
7.935000000000000000e+02	1.444425441494150562e+02	2.910586167702249583e+01
7.933999999999999773e+02	1.426656550294961505e+02	3.355231086253260742e+01
7.932999999999999545e+02	1.399097626621167478e+02	3.511488682094832825e+01
7.932000000000000455e+02	1.363365063975307123e+02	3.239840472815133410e+01
7.931000000000000227e+02	1.321128815074836780e+02	2.654107970543768857e+01
7.930000000000000000e+02	1.264205321242908724e+02	2.165342961543113987e+01
7.928999999999999773e+02	1.199557786894809226e+02	2.148217813605984361e+01
7.927999999999999545e+02	1.136447820091180176e+02	1.852923616533011497e+01
7.927000000000000455e+02	1.087426902043955579e+02	1.117448640996606812e+01
7.926000000000000227e+02	1.066369836707983296e+02	1.319747489644543847e+01
7.925000000000000000e+02	1.043308247818954442e+02	1.643741842036891398e+01
7.923999999999999773e+02	1.015483597246516467e+02	2.134018226631874171e+01
7.922999999999999545e+02	9.963340224604598916e+01	2.874652880649852804e+01
7.922000000000000455e+02	9.849482042678125993e+01	3.346260973480998757e+01
7.921000000000000227e+02	9.653631151525668486e+01	3.188079221909083216e+01
7.920000000000000000e+02	9.425247104778588891e+01	2.831514562228630538e+01
7.918999999999999773e+02	9.241676317268066043e+01	2.594277919013833866e+01
7.917999999999999545e+02	9.121118196285141266e+01	2.554531541051177967e+01
7.917000000000000455e+02	9.054971128639512301e+01	2.747516640348786865e+01
7.916000000000000227e+02	9.117090207895984122e+01	3.050257347324489032e+01
7.915000000000000000e+02	9.224671822396925336e+01	3.250588466779269936e+01
7.913999999999999773e+02	9.199689777210190300e+01	3.209621984291067065e+01
7.912999999999999545e+02	9.233325301319531775e+01	3.013255183821963712e+01
7.912000000000000455e+02	9.333282086770748265e+01	2.762398378655169395e+01
7.911000000000000227e+02	9.654989424461047065e+01	2.571718408016487345e+01
7.910000000000000000e+02	1.027438719142762693e+02	2.563056615292002149e+01
7.908999999999999773e+02	1.104300213859754649e+02	2.389954416203439891e+01
7.907999999999999545e+02	1.216479360220504304e+02	2.485169205773902945e+01
7.907000000000000455e+02	1.348327094366261747e+02	3.251869176538860984e+01
7.906000000000000227e+02	1.468703486678408865e+02	4.035285288037627538e+01
7.905000000000000000e+02	1.489093587450412883e+02	3.783934605318246014e+01
7.903999999999999773e+02	1.453405564591491270e+02	3.503469466662185283e+01
7.902999999999999545e+02	1.387731034140864779e+02	3.586046181733026827e+01
7.902000000000000455e+02	1.310122239381868496e+02	3.354153928510250182e+01
7.901000000000000227e+02	1.229769471818367776e+02	2.917409106143334441e+01
7.900000000000000000e+02	1.172660968790575140e+02	2.523664242574337990e+01
7.898999999999999773e+02	1.142667018526262552e+02	2.681381004762924292e+01
7.897999999999999545e+02	1.122141395251480134e+02	2.950040230437962308e+01
7.897000000000000455e+02	1.101008074965178025e+02	3.281502448989046172e+01
7.896000000000000227e+02	1.051161529699138271e+02	3.203382677749257113e+01
7.895000000000000000e+02	1.000629661516640709e+02	3.008709300521033470e+01
7.893999999999999773e+02	9.525011852850451533e+01	2.916686846630147656e+01
7.892999999999999545e+02	9.081885056491329067e+01	2.979570359181601091e+01
7.892000000000000455e+02	8.794485762893694414e+01	3.189538360446492860e+01
7.891000000000000227e+02	8.626547780974841828e+01	3.548092869445115127e+01
7.890000000000000000e+02	8.541909956030539774e+01	3.884684208575174580e+01
7.888999999999999773e+02	8.482521685068604711e+01	4.131178209193189588e+01
7.887999999999999545e+02	8.338620159028283751e+01	4.031553946502613428e+01
7.887000000000000455e+02	8.131483762702512763e+01	3.839569527879816491e+01
7.886000000000000227e+02	8.064715346675124863e+01	3.640255808591166442e+01
7.885000000000000000e+02	7.812175471942255456e+01	3.306638620370629411e+01
7.883999999999999773e+02	7.906490758686905451e+01	3.052710364813454191e+01
7.882999999999999545e+02	7.983829626359106157e+01	2.932377368447556165e+01
7.882000000000000455e+02	8.298351996893322280e+01	3.233012777828038509e+01
7.881000000000000227e+02	8.518565432436744800e+01	3.006437385760797909e+01
7.880000000000000000e+02	8.829250700399396123e+01	2.412077886373941027e+01
7.878999999999999773e+02	8.928261857630273823e+01	2.063458351573831351e+01
7.877999999999999545e+02	8.782947623214428745e+01	2.534469565106799038e+01
7.877000000000000455e+02	8.597688155537443322e+01	3.238634411197215002e+01
7.876000000000000227e+02	8.442102738628842928e+01	3.621469506516159953e+01
7.875000000000000000e+02	8.176436494771812136e+01	3.560805606170514181e+01
7.873999999999999773e+02	7.870020031036386854e+01	3.016310661243828051e+01
7.872999999999999545e+02	7.627754734462564556e+01	2.689635914948577167e+01
7.872000000000000455e+02	7.418043691926827421e+01	2.415412627878704654e+01
7.871000000000000227e+02	7.144307302893247424e+01	1.978348490394635562e+01
7.870000000000000000e+02	6.905231157420307397e+01	1.551892359487187356e+01
7.868999999999999773e+02	6.847925915864180979e+01	1.460919534681313436e+01
7.867999999999999545e+02	6.872431894584991596e+01	1.685297853056940198e+01
7.867000000000000455e+02	6.759503172564291162e+01	1.590025958451052368e+01
7.866000000000000227e+02	6.644055632598477246e+01	1.214800763008805085e+01
7.865000000000000000e+02	6.622354260110590474e+01	1.070227633870947770e+01
7.863999999999999773e+02	6.792392766462134546e+01	1.403041645088289613e+01
7.862999999999999545e+02	7.119155602270137706e+01	1.739386133072548546e+01
