Time(kyr)	      Stack_mean	      Standard_error
5.000000E+000	-1.236572E+000	4.071080E-001
6.000000E+000	-1.029062E+000	2.961967E-001
7.000000E+000	-1.207119E+000	3.205068E-001
8.000000E+000	-1.197152E+000	3.080695E-001
9.000000E+000	-1.259285E+000	3.205390E-001
1.000000E+001	-1.224526E+000	2.292283E-001
1.100000E+001	-9.354354E-001	1.508335E-001
1.200000E+001	-9.593436E-001	2.829182E-001
1.300000E+001	-5.992439E-001	2.279023E-001
1.400000E+001	3.007663E-001	2.041174E-001
1.500000E+001	4.901296E-001	2.056126E-001
1.600000E+001	4.247371E-001	2.071444E-001
1.700000E+001	6.396615E-001	2.266438E-001
1.800000E+001	8.545004E-001	1.523658E-001
1.900000E+001	8.935261E-001	2.334578E-001
2.000000E+001	1.390057E+000	1.897582E-001
2.100000E+001	1.349992E+000	1.772104E-001
2.200000E+001	1.336995E+000	1.809665E-001
2.300000E+001	1.298687E+000	1.930899E-001
2.400000E+001	1.256885E+000	1.936276E-001
2.500000E+001	1.220405E+000	2.151512E-001
2.600000E+001	6.993050E-001	1.833856E-001
2.700000E+001	9.751332E-001	1.597340E-001
2.800000E+001	1.066002E+000	1.309925E-001
2.900000E+001	9.633519E-001	1.449683E-001
3.000000E+001	1.028474E+000	1.356618E-001
3.100000E+001	9.573425E-001	1.156173E-001
3.200000E+001	1.006534E+000	1.278923E-001
3.300000E+001	8.639388E-001	1.214652E-001
3.400000E+001	2.863869E-001	2.614520E-001
3.500000E+001	9.398399E-001	8.697727E-002
3.600000E+001	8.713811E-001	5.827094E-002
3.700000E+001	8.706066E-001	7.525767E-002
3.800000E+001	6.419063E-001	7.651496E-002
3.900000E+001	4.735143E-001	1.022664E-001
4.000000E+001	3.864446E-001	1.127884E-001
4.100000E+001	6.505982E-001	8.327353E-002
4.200000E+001	6.127918E-001	1.171124E-001
4.300000E+001	7.093764E-001	9.181143E-002
4.400000E+001	6.744590E-001	1.103966E-001
4.500000E+001	6.037315E-001	5.857776E-002
4.600000E+001	6.433371E-001	9.308975E-002
4.700000E+001	4.813515E-001	1.393731E-001
4.800000E+001	3.890705E-001	1.620009E-001
4.900000E+001	6.827383E-001	6.947724E-002
5.000000E+001	6.516056E-001	7.346039E-002
5.100000E+001	5.927228E-001	7.535451E-002
5.200000E+001	4.790007E-001	6.910406E-002
5.300000E+001	5.736537E-001	6.810794E-002
5.400000E+001	4.519961E-001	9.390119E-002
5.500000E+001	2.551897E-001	1.060013E-001
5.600000E+001	4.590596E-001	1.265816E-001
5.700000E+001	6.672953E-001	1.072344E-001
5.800000E+001	5.329117E-001	1.362035E-001
5.900000E+001	3.079784E-001	3.019952E-001
6.000000E+001	3.074026E-001	2.393624E-001
6.100000E+001	3.662498E-001	2.021052E-001
6.200000E+001	7.617297E-001	1.543395E-001
6.300000E+001	7.637627E-001	1.423044E-001
6.400000E+001	7.705807E-001	1.456279E-001
6.500000E+001	7.920674E-001	1.177175E-001
6.600000E+001	8.301559E-001	1.199725E-001
6.700000E+001	6.885973E-001	1.187210E-001
6.800000E+001	6.405764E-001	1.142143E-001
6.900000E+001	6.010379E-001	1.379026E-001
7.000000E+001	3.976318E-001	1.483906E-001
7.100000E+001	2.135632E-001	1.379801E-001
