Age (kyr)	VADM (10^22 Am^2)	Standard error (10^22 Am^2)
5	6.2808052	0.97154966
6	7.0933771	1.1022699
7	7.3683273	1.0326122
8	7.5750228	1.0990421
9	7.6480013	0.82923113
10	7.4047276	0.82868774
11	6.6694048	0.48567324
12	6.4709811	0.46875623
13	6.1493627	0.73415249
14	6.3085889	0.43654989
15	6.396014	0.86559392
16	6.3237917	1.0531165
17	6.0595223	0.78737397
18	6.9763668	0.8929448
19	5.6097844	0.56838446
20	5.6010468	0.5249551
21	7.5881658	0.73407522
22	6.265933	0.54585469
23	6.0135484	0.77732966
24	5.7891007	0.70087296
25	5.9013292	0.75888623
26	4.8946051	0.61793529
27	3.8702876	0.72728839
28	4.6836573	0.74550824
29	5.3893647	0.44052784
30	6.2251998	0.5698558
31	6.3417798	0.55078384
32	6.7088583	0.71681516
33	5.5992865	0.54188176
34	5.1224302	0.72959753
35	5.0225555	0.56347428
36	6.1918316	0.76204963
37	5.3041436	0.75278194
38	5.2893018	0.56828716
39	5.2379487	0.50365198
40	3.3630207	0.28618675
41	2.6145874	0.61878311
42	3.1856623	0.6001601
43	4.2902768	0.56355083
44	5.6587246	0.59880144
45	6.3312897	0.59406511
46	6.3230537	0.53781259
47	7.7158954	0.51106376
48	10.231605	1.009744
49	10.162383	0.81695136
50	10.858723	0.89061277
51	10.644152	0.76179206
52	10.476563	0.88346391
53	10.366281	0.73390923
54	10.580405	0.70299466
55	8.6866137	0.55761968
56	7.6398766	0.57895965
57	7.2275533	0.57186731
58	6.5463775	0.55973422
59	6.6240622	0.57224865
60	7.7346536	0.55650607
61	6.8615251	0.4868448
62	5.9602207	0.50071502
63	4.7018311	0.67001741
64	4.0267167	0.66779806
65	5.7255179	0.59231439
66	6.1071607	0.54445776
67	5.7733781	0.6775426
68	6.5538483	0.49443044
69	6.4373871	0.50108313
70	8.5291908	0.773874
71	7.7166763	0.52617924
72	8.5125142	0.84611772
73	8.1927653	0.73727761
74	7.7236399	0.51080119
75	7.7158739	0.54529628
76	7.7722291	0.47030126
77	7.2852939	0.56566859
78	5.8010606	0.54023549
79	8.2064842	0.71175901
80	9.7764912	1.0051204
81	8.0248648	0.5768977
82	8.4217691	0.89193171
83	8.177481	0.37327766
84	8.6748358	0.95596985
85	8.6483743	0.60079936
86	8.2981082	0.56053446
87	8.5251234	0.6323414
88	7.9737479	0.67936236
89	7.7633195	0.49810503
90	7.2805163	0.79880807
91	8.5381376	0.45084546
92	9.6201629	0.60339218
93	8.3779816	0.49593183
94	7.8153412	0.33345115
95	5.8003459	0.46564864
96	5.6927811	0.58050432
97	4.4133534	0.45282585
98	4.6116701	0.51323124
99	3.5874849	0.49673779
100	3.8125043	0.47013349
101	4.2639687	0.24880264
102	5.4059873	0.60608981
103	5.9854967	0.47473066
104	4.5996182	0.60636777
105	4.9303812	0.37023589
106	5.697922	0.37786267
107	6.1459317	0.49706655
108	5.7644918	0.48827142
109	4.9948082	0.44616422
110	5.126847	0.80704585
111	5.3500735	0.95658908
112	5.4585434	0.8628462
113	4.5182911	0.83526244
114	6.064689	1.0936572
115	5.1961889	0.80936822
116	5.7593054	0.99123083
117	5.7386144	0.74880507
118	5.6531021	0.65036056
119	4.3822703	0.43132848
120	3.6038367	0.32730333
121	3.803041	0.22753258
122	4.4991196	0.38420055
123	4.9436083	0.29631374
124	5.7401372	0.56352007
125	6.2252349	0.60998334
126	5.3406452	0.44015258
127	5.4261349	0.55504046
128	6.4259548	0.74856754
129	7.9545783	0.8941364
130	7.7587231	0.75433198
131	7.3427947	0.83128449
132	6.3628192	0.80813978
133	6.6803241	0.75534292
134	8.697875	0.82333718
135	9.117675	0.89063745
136	9.3476732	0.87679119
137	9.4233393	0.87613118
138	10.077293	1.1150684
139	10.084005	0.97412889
140	9.8494568	0.91323555
141	10.095022	1.0685997
142	9.9843775	0.94339639
143	8.5386999	0.76383863
144	8.9492619	0.84006423
145	9.6603248	0.59111635
146	9.6184909	0.6061957
147	8.5320179	0.66758306
148	8.1245138	0.73312867
149	7.6545914	0.69056894
150	8.447757	0.41174175
151	9.5447461	0.37917732
152	9.2256905	0.50023996
153	10.032596	0.57453919
154	10.337226	0.71444127
155	9.92532	0.72337519
156	10.176497	0.78371226
157	8.3389205	0.61435228
158	9.2590788	0.64160443
159	10.129587	0.85684244
160	10.823476	0.78312666
161	11.589027	0.79004335
162	11.920491	0.74666048
163	12.832775	0.82909912
164	11.18807	0.75074611
165	9.8928844	0.54429571
166	8.8387473	0.295426
167	10.872256	0.67278516
168	11.585614	0.86455722
169	10.174181	0.41100125
170	9.7113827	0.48975528
171	8.2446006	0.61509278
172	7.5670848	0.61315711
173	7.5294827	0.57234667
174	8.7235353	0.5948954
175	8.7572756	0.63311266
176	8.3120933	0.6289537
177	7.6132304	0.71384815
178	7.1184057	0.43448938
179	6.5499036	0.37719336
180	6.4495689	0.67340797
181	6.678803	0.64782283
182	5.9447042	0.87252635
183	4.8088035	0.5382923
184	4.8472214	0.4699303
185	4.7843355	0.53004307
186	5.2183573	0.39846857
187	4.9385804	0.61267024
188	4.2272793	0.4580444
189	4.0524922	0.45117672
190	3.3394249	0.52292033
191	3.3033337	0.2755603
192	4.2495125	0.44103975
193	2.6575184	0.33913253
194	2.3407244	0.34528254
195	2.3814697	0.4843364
196	2.5191059	0.57886628
197	2.9968064	0.56296594
198	2.8016868	0.7127603
199	5.016488	0.9659834
200	5.097191	0.64763431
201	7.1815415	0.83578651
202	7.7499863	0.99989074
203	8.3594022	0.7436781
204	7.8864166	0.71484192
205	9.2428318	0.66253014
206	7.4936761	0.52331849
207	6.4704202	0.58597579
208	4.8843061	0.68104011
209	5.8171015	0.88712884
210	4.6812774	0.73917465
211	4.4742063	0.72238285
212	4.7725415	0.77631371
213	4.4641116	0.49027864
214	6.3768984	0.44995185
215	5.7234599	0.62818387
216	4.6733197	0.698454
217	5.8864591	0.63904202
218	5.9148792	0.42046032
219	5.2970516	0.44001378
220	4.4349892	0.89684512
221	4.9406248	0.88365995
222	5.0080703	0.77594883
223	7.8376238	0.54516177
224	9.5501882	0.72785968
225	11.283476	0.78969814
226	11.341385	0.83225787
227	12.468858	0.9744419
228	11.808458	0.87945842
229	9.9723016	0.804306
230	9.8998168	0.82524209
231	13.110116	0.83028213
232	12.083641	0.81327641
233	10.645789	0.49929949
234	9.2301153	0.62132477
235	7.9836044	0.58717418
236	8.0262353	0.54663419
237	6.1519165	0.57968906
238	4.2887857	0.78438551
239	4.0729743	0.56754559
240	4.9009187	0.47544791
241	5.2830852	0.4685856
242	8.6332266	1.1071669
243	8.9259741	0.67544952
244	9.591648	0.61730819
245	8.4068035	0.58721102
246	8.3819603	0.85296072
247	9.9087611	1.0448648
248	12.095389	0.50905297
249	11.439156	0.66042491
250	12.810203	0.69826655
251	14.486961	1.1069619
252	10.674652	0.67087882
253	8.5647333	0.42610206
254	6.7254569	0.56695713
255	5.7022083	0.68407044
256	5.1143945	0.55397443
257	5.0214418	0.44792961
258	6.7474762	0.58221677
259	7.5837553	0.31702453
260	6.1225427	0.43800227
261	4.9138298	0.53989028
262	5.385977	0.51089062
263	5.0703262	0.34915964
264	6.6370242	0.36888546
265	6.638058	0.33785165
266	5.7524814	0.47749197
267	7.7846234	0.58708045
268	7.2947623	0.58001566
269	7.3105574	0.93401745
270	6.2057372	0.77244988
271	5.5856699	0.8174114
272	5.3548009	0.65039848
273	5.7972372	0.43775151
274	5.3899163	0.46113017
275	5.4075666	0.48205588
276	5.0451875	0.48228626
277	4.0373345	0.66759845
278	3.7436021	0.67785704
279	4.1092934	0.74960495
280	4.1647801	0.58947402
281	4.4824352	0.52740303
282	3.9074635	0.45948676
283	5.0770977	0.83710402
284	4.8260939	0.6223418
285	3.9893204	0.49347387
286	3.6877649	0.37834811
287	3.932766	0.49218569
288	3.9674933	0.5495901
289	4.5807834	0.2678868
290	4.3964382	0.36940059
291	4.4725508	0.44670188
292	4.8089791	0.34362693
293	5.4348184	0.55532628
294	6.0466698	0.37193081
295	5.2308775	0.35717277
296	6.5119858	0.52861645
297	10.528243	0.7806916
298	11.076781	0.83434307
299	10.614984	0.72248158
300	9.3923947	0.52395131
301	7.9613118	0.38045227
302	6.6739486	0.49205906
303	6.6948497	0.37332452
304	5.7420318	0.31142657
305	5.6307387	0.56247299
306	6.2063378	0.59017588
307	7.3401178	0.44862611
308	8.5790525	0.45519652
309	9.1990258	0.81744181
310	9.5400148	0.9787164
311	8.0638938	0.95099491
